date,treatment,block,plot,subplot,subplot.t,vial.num,subfamily,genus,species,spec.code,count
2006-06-14,log,Valley,2,A,disturbance,9027,Formicinae,Formica,subaenescens,forsub1,2
2006-06-14,log,Valley,2,A,exclosure,9022,Myrmicinae,Aphaenogaster,picea,aphpic,1
2006-06-14,log,Ridge,4,B,control,9033,Myrmicinae,Aphaenogaster,picea,aphpic,1
2006-06-14,girdle,Ridge,5,A,disturbance,9010,Myrmicinae,Aphaenogaster,picea,aphpic,6
2006-06-14,girdle,Ridge,5,B,exclosure,9017,Myrmicinae,Temnothorax,longispinosus,temlon,1
2006-06-14,hemlock control,Ridge,6,A,control,9019,Myrmicinae,Aphaenogaster,picea,aphpic,1
2006-06-14,hemlock control,Ridge,6,B,disturbance,9011,Myrmicinae,Aphaenogaster,picea,aphpic,1
2006-06-14,hardwood control,Ridge,7,A,control,9015,Formicinae,Lasius,alienus,lasali,10
2006-06-14,hardwood control,Ridge,7,A,control,9013,Myrmicinae,Aphaenogaster,picea,aphpic,5
2006-06-14,hardwood control,Ridge,7,A,disturbance,9016,Myrmicinae,Aphaenogaster,picea,aphpic,1
2006-06-14,hardwood control,Valley,8,A,exclosure,9000,Myrmicinae,Aphaenogaster,picea,aphpic,3
2006-06-14,hardwood control,Valley,8,A,exclosure,9001,Myrmicinae,Myrmica,punctiventris,myrpun,1
2006-06-14,hardwood control,Valley,8,B,control,9004,Myrmicinae,Aphaenogaster,picea,aphpic,1
2006-06-14,hardwood control,Valley,8,B,disturbance,9007,Myrmicinae,Aphaenogaster,picea,aphpic,1
2006-07-19,log,Valley,2,B,disturbance,9303,Myrmicinae,Aphaenogaster,picea,aphpic,1
2006-07-19,hemlock control,Valley,3,A,control,9302,Formicinae,Lasius,umbratus,lasumb,1
2006-07-19,hemlock control,Valley,3,A,disturbance,296,Myrmicinae,Aphaenogaster,picea,aphpic,2
2006-07-19,hemlock control,Valley,3,A,exclosure,9297,Myrmicinae,Stenamma,impar,steimp,1
2006-07-19,log,Ridge,4,B,exclosure,9307,Myrmicinae,Aphaenogaster,picea,aphpic,1
2006-07-19,girdle,Ridge,5,A,exclosure,9313,Myrmicinae,Aphaenogaster,picea,aphpic,1
2006-07-19,girdle,Ridge,5,A,control,9299,Formicinae,Camponotus,pennsylvanicus,campen,1
2006-07-19,girdle,Ridge,5,A,control,9298,Myrmicinae,Aphaenogaster,picea,aphpic,1
2006-07-19,girdle,Ridge,5,B,control,9312,Formicinae,Camponotus,pennsylvanicus,campen,6
2006-07-19,girdle,Ridge,5,B,disturbance,9309,Myrmicinae,Aphaenogaster,picea,aphpic,1
2006-07-19,girdle,Ridge,5,B,exclosure,9314,Myrmicinae,Aphaenogaster,picea,aphpic,2
2006-07-19,hemlock control,Ridge,6,A,control,9321,Myrmicinae,Aphaenogaster,picea,aphpic,2
2006-07-19,hemlock control,Ridge,6,A,exclosure,9318,Formicinae,Lasius,umbratus,lasumb,2
2006-07-19,hardwood control,Ridge,7,A,disturbance,9316,Myrmicinae,Aphaenogaster,picea,aphpic,1
2006-07-19,hardwood control,Ridge,7,B,disturbance,9311,Myrmicinae,Myrmica,punctiventris,myrpun,1
2006-07-19,hardwood control,Valley,8,A,control,9324,Myrmicinae,Aphaenogaster,picea,aphpic,2
2006-07-19,hardwood control,Valley,8,B,exclosure,9325,Myrmicinae,Aphaenogaster,picea,aphpic,3
2006-07-19,hardwood control,Valley,8,B,disturbance,9330,Myrmicinae,Aphaenogaster,picea,aphpic,1
2006-07-19,hardwood control,Valley,8,B,disturbance,9329,Formicinae,Formica,aserva,forase,1
