year,quarter,treatment,block,plot,subplot,subplot.t,res.mass,tot.nh4,tot.no3,res.nh4,res.no3,tot.n,res.n,daily.nh4,daily.no3,daily.n
2006,3,girdled,valley,1,A,C,1.193,164.4,3.73,137.8,3.13,168.13,140.93,1.498,0.034,1.532
2006,3,girdled,valley,1,A,D,1.207,163.8,0,135.71,0,163.8,135.71,1.475,0,1.475
2006,3,girdled,valley,1,A,X,1.225,171.6,1.08,140.08,0.88,172.68,140.97,1.523,0.01,1.532
2006,3,girdled,valley,1,B,C,1.23,169.8,0,138.05,0,169.8,138.05,1.501,0,1.501
2006,3,girdled,valley,1,B,D,1.202,228,4.49,189.68,3.73,232.49,193.42,2.062,0.041,2.102
2006,3,girdled,valley,1,B,X,1.2,169.2,3.01,141,2.51,172.21,143.51,1.533,0.027,1.56
2006,3,logged,valley,2,A,C,1.231,229.2,6.47,186.19,5.26,235.67,191.45,2.024,0.057,2.081
2006,3,logged,valley,2,A,D,1.219,541.2,160.74,443.97,131.87,701.94,575.84,4.826,1.433,6.259
2006,3,logged,valley,2,A,X,1.2,203.4,0,169.5,0,203.4,169.5,1.842,0,1.842
2006,3,logged,valley,2,B,C,1.213,163.2,0,134.54,0,163.2,134.54,1.462,0,1.462
2006,3,logged,valley,2,B,D,1.216,358.2,257.86,294.57,212.06,616.06,506.63,3.202,2.305,5.507
2006,3,logged,valley,2,B,X,1.212,198,0.71,163.37,0.58,198.71,163.95,1.776,0.006,1.782
2006,3,hemlock control,valley,3,A,C,1.179,162,0,137.4,0,162,137.4,1.494,0,1.494
2006,3,hemlock control,valley,3,A,D,1.2,166.8,0,139,0,166.8,139,1.511,0,1.511
2006,3,hemlock control,valley,3,A,X,1.213,151.8,0.33,125.14,0.27,152.13,125.41,1.36,0.003,1.363
2006,3,hemlock control,valley,3,B,C,1.233,205.8,1.97,166.91,1.6,207.77,168.51,1.814,0.017,1.832
2006,3,hemlock control,valley,3,B,D,1.198,193.2,0.5,161.27,0.42,193.7,161.69,1.753,0.005,1.757
2006,3,hemlock control,valley,3,B,X,1.215,169.8,0.02,139.75,0.01,169.82,139.77,1.519,0,1.519
2006,3,logged,ridge,4,A,C,1.266,243.6,11.39,192.42,8.99,254.99,201.41,2.091,0.098,2.189
2006,3,logged,ridge,4,A,D,1.206,660,775.81,547.26,643.3,1435.81,1190.56,5.949,6.992,12.941
2006,3,logged,ridge,4,A,X,1.249,1608,378.98,1287.43,303.42,1986.98,1590.85,13.994,3.298,17.292
2006,3,logged,ridge,4,B,C,1.256,196.2,0.91,156.21,0.72,197.11,156.93,1.698,0.008,1.706
2006,3,logged,ridge,4,B,D,1.136,170.4,0,150,0,170.4,150,1.63,0,1.63
2006,3,logged,ridge,4,B,X,1.204,168.6,2.61,140.03,2.17,171.21,142.2,1.522,0.024,1.546
2006,3,girdled,ridge,5,A,C,1.183,523.2,6.03,442.27,5.1,529.23,447.36,4.807,0.055,4.863
2006,3,girdled,ridge,5,A,D,1.235,204.6,0.11,165.67,0.09,204.71,165.76,1.801,0.001,1.802
2006,3,girdled,ridge,5,A,X,1.184,177.6,8.48,150,7.17,186.08,157.17,1.63,0.078,1.708
2006,3,girdled,ridge,5,B,C,1.172,162.6,1.19,138.74,1.02,163.79,139.76,1.508,0.011,1.519
2006,3,girdled,ridge,5,B,D,1.185,158.4,18.47,133.67,15.59,176.87,149.26,1.453,0.169,1.622
2006,3,girdled,ridge,5,B,X,1.199,203.4,37.17,169.64,31,240.57,200.64,1.844,0.337,2.181
2006,3,hemlock control,ridge,6,A,C,1.182,180.6,3.6,152.79,3.05,184.2,155.84,1.661,0.033,1.694
2006,3,hemlock control,ridge,6,A,D,1.184,171,0,144.43,0,171,144.43,1.57,0,1.57
2006,3,hemlock control,ridge,6,A,X,1.151,197.4,22.94,171.5,19.93,220.34,191.43,1.864,0.217,2.081
2006,3,hemlock control,ridge,6,B,C,1.223,159,15.85,130.01,12.96,174.85,142.97,1.413,0.141,1.554
2006,3,hemlock control,ridge,6,B,D,1.145,171.6,0,149.87,0,171.6,149.87,1.629,0,1.629
2006,3,hemlock control,ridge,6,B,X,1.203,160.2,0.48,133.17,0.4,160.68,133.56,1.447,0.004,1.452
2006,3,hardwood control,ridge,7,A,C,1.185,385.8,26.57,325.57,22.42,412.37,347.99,3.539,0.244,3.782
2006,3,hardwood control,ridge,7,A,D,1.229,191.4,7.37,155.74,5.99,198.77,161.73,1.693,0.065,1.758
2006,3,hardwood control,ridge,7,A,X,1.211,164.4,10.16,135.76,8.39,174.56,144.14,1.476,0.091,1.567
2006,3,hardwood control,ridge,7,B,C,1.166,160.2,2.27,137.39,1.94,162.47,139.34,1.493,0.021,1.515
2006,3,hardwood control,ridge,7,B,D,1.183,166.2,6.42,140.49,5.43,172.62,145.92,1.527,0.059,1.586
2006,3,hardwood control,ridge,7,B,X,1.19,189.6,2.55,159.33,2.14,192.15,161.47,1.732,0.023,1.755
2006,3,hardwood control,valley,8,A,C,1.199,276,51.57,230.19,43.01,327.57,273.2,2.502,0.468,2.97
2006,3,hardwood control,valley,8,A,D,1.149,168,3.18,146.21,2.77,171.18,148.98,1.589,0.03,1.619
2006,3,hardwood control,valley,8,A,X,1.181,168.6,1.29,142.76,1.1,169.89,143.86,1.552,0.012,1.564
2006,3,hardwood control,valley,8,B,C,1.148,162.6,0.5,141.64,0.44,163.1,142.07,1.54,0.005,1.544
2006,3,hardwood control,valley,8,B,D,1.17,183.6,0,156.92,0,183.6,156.92,1.706,0,1.706
