Plot,Zone,Species,SppNum,Seq,Tag,Dbh,Vigor,AbvBmss,BlwBmss,Area
2,1,PIRU,10,1,0,2.6,4,-999.99,-999.99,25.00
2,1,SOAM,12,2,0,2.2,0,-999.99,-999.99,25.00
2,1,SOAM,12,3,0,2.1,0,-999.99,-999.99,25.00
2,1,SOAM,12,4,0,2.3,0,-999.99,-999.99,25.00
2,1,SOAM,12,5,0,2.1,0,-999.99,-999.99,25.00
2,1,SOAM,12,6,0,3.3,0,-999.99,-999.99,25.00
2,1,PRPE,7,7,0,1.5,0,-999.99,-999.99,25.00
2,1,PRPE,7,8,0,1.6,0,-999.99,-999.99,25.00
2,1,PRPE,7,9,0,2.5,0,-999.99,-999.99,25.00
2,1,PRPE,7,10,0,1.5,0,-999.99,-999.99,25.00
2,1,PRPE,7,11,0,2.2,0,-999.99,-999.99,25.00
2,1,PRPE,7,12,0,2.0,0,-999.99,-999.99,25.00
2,1,PRPE,7,13,0,1.6,0,-999.99,-999.99,25.00
2,1,PRPE,7,14,0,2.4,0,-999.99,-999.99,25.00
2,1,PRPE,7,15,0,1.7,0,-999.99,-999.99,25.00
2,1,PRPE,7,16,0,1.5,0,-999.99,-999.99,25.00
2,1,PRPE,7,17,0,2.0,0,-999.99,-999.99,25.00
2,1,PRPE,7,18,0,2.0,0,-999.99,-999.99,25.00
2,1,PRPE,7,19,0,1.6,0,-999.99,-999.99,25.00
2,1,PRPE,7,20,0,1.9,4,-999.99,-999.99,25.00
2,1,BEPA,11,21,0,1.8,0,-999.99,-999.99,25.00
2,1,BEPA,11,22,0,2.1,0,-999.99,-999.99,25.00
2,1,BEPA,11,23,0,1.5,0,-999.99,-999.99,25.00
2,1,ACPE,6,24,0,1.5,0,-999.99,-999.99,25.00
3,1,BEPA,11,25,0,1.5,0,-999.99,-999.99,24.50
3,1,PRPE,7,26,0,1.7,0,-999.99,-999.99,24.50
3,1,PRPE,7,27,0,2.1,0,-999.99,-999.99,24.50
3,1,PRPE,7,28,0,1.5,0,-999.99,-999.99,24.50
3,1,PRPE,7,29,0,1.5,0,-999.99,-999.99,24.50
3,1,PRPE,7,30,0,2.5,0,-999.99,-999.99,24.50
3,1,PRPE,7,31,0,2.0,0,-999.99,-999.99,24.50
3,1,PRPE,7,32,0,1.6,0,-999.99,-999.99,24.50
3,1,PRPE,7,33,0,2.4,0,-999.99,-999.99,24.50
3,1,PRPE,7,34,0,1.6,0,-999.99,-999.99,24.50
3,1,PRPE,7,35,0,1.6,3,-999.99,-999.99,24.50
3,1,PRPE,7,36,0,1.5,4,-999.99,-999.99,24.50
3,1,PRPE,7,37,0,1.6,4,-999.99,-999.99,24.50
3,1,SOAM,12,38,0,2.5,0,-999.99,-999.99,24.50
3,1,SOAM,12,38,0,2.8,0,-999.99,-999.99,24.50
23,1,PRPE,7,39,0,1.8,0,-999.99,-999.99,24.50
23,1,PRPE,7,40,0,1.7,0,-999.99,-999.99,24.50
