lakeid,lakename,year4,daynum,sampledate,old_taxon_code,taxon_code,division,taxon_name,concentration,class,gal_dimension,mean_individ_vol,mean_individ_biovol,total_vol,total_biovol
"W","West Long Lake",1994,186,1994-07-05,,2031,"Chlorophyte","Ankistrodesmus falcatus",6.576,"C",17.600,35.692,35.692,0.000,0.000
"W","West Long Lake",1994,172,1994-06-21,,1128,"Chrysophyte","Dinobryon divergens",10.960,"Y",222.750,19886.500,3193.000,0.218,0.035
"W","West Long Lake",1994,172,1994-06-21,,2363,"Chlorophyte","Oocystis parva",19.727,"C",20.533,2795.177,1663.246,0.055,0.033
"W","West Long Lake",1994,172,1994-06-21,,2462,"Chlorophyte","Quadrigula lacustris",13.151,"C",27.500,267.478,267.478,0.004,0.004
"W","West Long Lake",1994,165,1994-06-14,,1128,"Chrysophyte","Dinobryon divergens",6.576,"Y",283.800,55810.500,8961.000,0.367,0.059
"W","West Long Lake",1994,165,1994-06-14,,2080,"Chlorophyte","Chlamydomonas sp.",3.288,"C",22.000,2004.805,2004.805,0.007,0.007
"W","West Long Lake",1994,165,1994-06-14,,2211,"Chlorophyte","Dictyosphaerium pulchellum",3.288,"C",22.000,5568.904,601.442,0.018,0.002
"W","West Long Lake",1994,165,1994-06-14,,2231,"Chlorophyte","Elakatothrix gelatinosa",3.288,"C",44.000,708.680,71.384,0.002,0.000
"W","West Long Lake",1994,165,1994-06-14,,2363,"Chlorophyte","Oocystis parva",9.864,"C",33.733,10967.853,844.823,0.108,0.008
"W","West Long Lake",1994,158,1994-06-07,,1121,"Chrysophyte","Dinobryon bavaricum",2.192,"Y",242.000,1938.000,161.000,0.004,0.000
"W","West Long Lake",1994,158,1994-06-07,,1128,"Chrysophyte","Dinobryon divergens",2.192,"Y",143.000,24377.000,3914.000,0.053,0.009
"W","West Long Lake",1994,158,1994-06-07,,1400,"Chrysophyte","Diceras sp.",2.192,"Y",88.000,153.000,153.000,0.000,0.000
"W","West Long Lake",1994,158,1994-06-07,,2080,"Chlorophyte","Chlamydomonas sp.",2.192,"C",13.200,534.615,534.615,0.001,0.001
"W","West Long Lake",1994,151,1994-05-31,,2080,"Chlorophyte","Chlamydomonas sp.",1.461,"C",8.800,200.481,200.481,0.000,0.000
"W","West Long Lake",1994,151,1994-05-31,,2211,"Chlorophyte","Dictyosphaerium pulchellum",7.306,"C",35.200,22810.231,562.343,0.167,0.004
"W","West Long Lake",1994,158,1994-06-07,,2211,"Chlorophyte","Dictyosphaerium pulchellum",8.768,"C",71.500,191200.000,4210.091,1.676,0.037
"W","West Long Lake",1994,151,1994-05-31,,1121,"Chrysophyte","Dinobryon bavaricum",1.461,"Y",44.000,1938.000,161.000,0.003,0.000
"W","West Long Lake",1994,151,1994-05-31,,1570,"Chrysophyte","Ochromonas sp.",104.174,"Y",6.600,150.360,150.360,0.016,0.016
"W","West Long Lake",1994,151,1994-05-31,,1630,"Chrysophyte","Uroglena sp. (single)",260.434,"Y",4.400,44.636,44.636,0.012,0.012
"W","West Long Lake",1994,151,1994-05-31,,1631,"Chrysophyte","Uroglena sp. (colonial)",2.923,"Y",77.000,1428.365,1428.365,0.004,0.004
