"lakeid","lakename","year4","daynum","sampledate","standard_taxon_code","group_code","taxon_name","number_per_net","mean_length","mean_individ_biomass","net_efficiency_measured","net_efficiency_mean","abundance_raw","abundance","biomass"
"L","Paul Lake",1984,155,1984-06-03,"ASPLG","PROT","Asplanchna sp.",158,0.66,6.612,NA,0.136313053125,2235.24275631284,16397.8628977161,0.108422669479699
"L","Paul Lake",1984,155,1984-06-03,"CCOL","ROT","colonial Conochilus sp.",448,0.18,2.91,NA,0.2166,6337.90351157059,29260.8657043887,0.085149119199771
"L","Paul Lake",1984,155,1984-06-03,"COPD","OCOP","Copepodite",1347,0.46,1.078,NA,0.195779391571429,19056.1518528696,97334.8200743443,0.104926936040143
"L","Paul Lake",1984,155,1984-06-03,"DPUL","CLAD","Daphnia pulex",1089,1.27,13.392,NA,0.1437983365,15406.1984912955,107137.529308592,1.43478579250066
"L","Paul Lake",1984,155,1984-06-03,"EPSH","CCOP","Epischura lacustris",24,1.8,13.112,0.137,0.255047885,339.53054526271,1331.24234793286,0.0174552496660957
"L","Paul Lake",1984,155,1984-06-03,"FIL","ROT","Filinia longispina",376,0.14,0.036,NA,0.1437983365,5319.31187578246,36991.4701744999,0.001331692926282
"L","Paul Lake",1984,155,1984-06-03,"MSBR","ROT","Gastropus hyptopus",575,0.13,0.044,NA,0.1437983365,8134.58598025243,56569.4025274933,0.0024890537112097
"L","Paul Lake",1984,155,1984-06-03,"GSTYL","ROT","Gastropus stylifer",20,0.11,0.027,NA,0.1437983365,282.942121052258,1967.63139226064,5.31260475910372e-05
"L","Paul Lake",1984,155,1984-06-03,"HGIB","CLAD","Holopedium gibberum",317,0.76,5.541,NA,0.181128487363636,4484.6326186783,24759.3997164835,0.137191833829035
"L","Paul Lake",1984,155,1984-06-03,"KCOCH","ROT","Keratella cochlearis",852,0.1,0.002,NA,0.1437983365,12053.3343568262,83821.0973103031,0.000167642194620606
"L","Paul Lake",1984,155,1984-06-03,"KTEST","ROT","Keratella testudo",99,0.11,0.003,NA,0.1437983365,1400.56349920868,9739.77539169015,2.92193261750704e-05
"L","Paul Lake",1984,155,1984-06-03,"MESO","CCOP","Mesocyclops edax",3,1.52,27.706,NA,0.169252581333333,42.4413181578388,250.757287265551,0.00694748140097936
"L","Paul Lake",1984,155,1984-06-03,"NAUP","OCOP","Nauplii",2555,0.2,0.944,NA,0.184969965304348,36145.855964426,195414.730737241,0.184471505815956
"L","Paul Lake",1984,155,1984-06-03,"ORTH","OCOP","Orthocyclops modestus",198,0.88,5.648,NA,0.195567789555556,2801.12699841736,14323.0488250808,0.0808965797640566
"L","Paul Lake",1984,155,1984-06-03,"PVULG","ROT","Polyarthra vulgaris",1287,0.12,0.048,NA,0.1437983365,18207.3254897128,126617.080091972,0.00607761984441465
"R","Peter Lake",1984,156,1984-06-04,"AEUC","ROT","Ascomorpha ecaudis",257,0.15,0.041,NA,0.17723005627381,3635.80625552152,20514.6143490719,0.00084109918831195
"R","Peter Lake",1984,156,1984-06-04,"ASPLG","PROT","Asplanchna sp.",1028,0.67,6.918,NA,0.125464151,14543.2250220861,115915.382251988,0.80190261441925
