"lakename","lakeid","year4","daynum","sampledate","division","genus","species","description","concentration","gal_dimension","mean_individ_vol","mean_individ_biovol","total_vol","total_biovol"
"Paul Lake","L",1984,148,1984-05-27,"Chlorophyta","Ankyra","judayi",NA,0.047,66.6,153,153,0.001,0.001
"Paul Lake","L",1984,148,1984-05-27,"Chrysophyta","Chrysosphaerella",NA,NA,0.002,126,831340,52245,0.154,0.01
"Paul Lake","L",1984,148,1984-05-27,"Chlorophyta","Crucigenia",NA,NA,0.031,8.85,362,362,0.001,0.001
"Paul Lake","L",1984,148,1984-05-27,"Cryptophyta","Cryptomonas",NA,"sp. 1 (<14)",0.198,13.9,203,203,0.004,0.004
"Paul Lake","L",1984,148,1984-05-27,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",0.015,24,1514,1514,0.002,0.002
"Paul Lake","L",1984,148,1984-05-27,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",0.198,24,1514,1514,0.03,0.03
"Paul Lake","L",1984,148,1984-05-27,"Chrysophyta","Dinobryon","cylindricum",NA,0.012,96.9,4490,722,0.005,0.001
"Paul Lake","L",1984,148,1984-05-27,"Chrysophyta","Dinobryon",NA,"cyst",0.295,37.9,1309,210,0.039,0.006
"Paul Lake","L",1984,148,1984-05-27,"Chrysophyta","Dinobryon","divergens",NA,0.028,69.6,3156,507,0.009,0.001
"Paul Lake","L",1984,148,1984-05-27,"Chrysophyta","Dinobryon",NA,NA,0.015,69.8,2442,203,0.004,0
"Paul Lake","L",1984,148,1984-05-27,"Chlorophyta","Gloeocystis",NA,NA,0.07,44.1,63780,2255,0.446,0.016
"Paul Lake","L",1984,148,1984-05-27,"Cyanophyta","Gomphosphaeria",NA,NA,0.015,59.3,19070,5987,0.029,0.009
"Paul Lake","L",1984,148,1984-05-27,"Chrysophyta","Mallomonas",NA,NA,0.21,29.3,1032,1032,0.022,0.022
"Paul Lake","L",1984,148,1984-05-27,"Chrysophyta","Mallomonas",NA,NA,0.054,16.6,1410,1410,0.008,0.008
"Paul Lake","L",1984,148,1984-05-27,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",1.818,5.8,102,102,0.019,0.019
"Paul Lake","L",1984,148,1984-05-27,"Pyrrhophyta",NA,NA,"Misc. naked dinoflagellate",0.001,73.7,64600,64600,0.006,0.006
"Paul Lake","L",1984,148,1984-05-27,"Chlorophyta","Monomastix","astigmata",NA,0.023,6.25,30.3,30.3,0,0
"Paul Lake","L",1984,148,1984-05-27,"Chlorophyta","Oocystis",NA,"sp. 1",0.21,15.4,1490,1490,0.031,0.031
"Paul Lake","L",1984,148,1984-05-27,"Pyrrhophyta","Peridinium",NA,NA,0.007,82.8,64600,64600,0.045,0.045
"Paul Lake","L",1984,148,1984-05-27,"Pyrrhophyta","Peridinium","umbonatum",NA,0.015,16.2,1580,1580,0.002,0.002
"Paul Lake","L",1984,148,1984-05-27,"Chlorophyta","Quadrigula","lacustris",NA,0.008,92.7,23195,312,0.019,0
"Paul Lake","L",1984,148,1984-05-27,"Chrysophyta","Synura",NA,"colonial",0.005,56,91847,22080,0.05,0.012
"Paul Lake","L",1984,148,1984-05-27,"Bacillariophyta","Tabellaria","fenestrata",NA,0.187,6.94,175,175,0.003,0.003
"Peter Lake","R",1984,148,1984-05-27,"Cyanophyta","Anabaena","circinalis",NA,0.204,35.1,1232,1232,0.025,0.025
"Peter Lake","R",1984,148,1984-05-27,"Chrysophyta","Chrysosphaerella",NA,NA,0.002,126,831340,52245,0.131,0.008
"Peter Lake","R",1984,148,1984-05-27,"Chlorophyta","Crucigenia",NA,NA,0.144,8.85,362,362,0.005,0.005
"Peter Lake","R",1984,148,1984-05-27,"Cryptophyta","Cryptomonas",NA,"sp. 2 (<22)",0.28,24,1514,1514,0.042,0.042
"Peter Lake","R",1984,148,1984-05-27,"Chrysophyta","Dinobryon","cylindricum",NA,0.607,96.9,4490,722,0.273,0.044
"Peter Lake","R",1984,148,1984-05-27,"Chrysophyta","Dinobryon",NA,"cyst",15.27,37.9,1309,210,1.999,0.321
"Peter Lake","R",1984,148,1984-05-27,"Chrysophyta","Dinobryon","divergens",NA,0.212,70.4,5743,159,0.122,0.003
"Peter Lake","R",1984,148,1984-05-27,"Chrysophyta","Dinobryon","divergens",NA,1.466,69.6,3156,507,0.463,0.074
"Peter Lake","R",1984,148,1984-05-27,"Chrysophyta","Dinobryon",NA,NA,0.068,69.8,2442,203,0.017,0.001
"Peter Lake","R",1984,148,1984-05-27,"Chlorophyta","Gloeocystis",NA,NA,0.068,44.1,63780,2255,0.434,0.015
"Peter Lake","R",1984,148,1984-05-27,"Chrysophyta","Mallomonaas","akrokomos",NA,0.569,17.7,131,131,0.007,0.007
"Peter Lake","R",1984,148,1984-05-27,"Miscellaneous",NA,NA,"Misc. micros, 1 flagellum",0.348,5.8,102,102,0.004,0.004
"Peter Lake","R",1984,148,1984-05-27,"Chlorophyta","Monomastix","astigmata",NA,1.632,7.7,37.1,37.1,0.006,0.006
"Peter Lake","R",1984,148,1984-05-27,"Cyanophyta","Nostoc",NA,"single trichomes",0.221,15.9,401,401,0.009,0.009
"Peter Lake","R",1984,148,1984-05-27,"Chlorophyta","Oocystis",NA,"sp. 1",0.068,15.4,1490,1490,0.01,0.01
"Peter Lake","R",1984,148,1984-05-27,"Chlorophyta","Quadrigula","lacustris",NA,0.068,92.7,23195,312,0.158,0.002
