site_code,site_project_comm,project_name,community_type,location,Country,Continent,Lat,Long,MAP_mm,plot_size,spatial_extent,succession,lifespan,trophic_level,taxa,ANPP,broad_ecosystem_type,num_plots,temp_C,dataset_length,time_step
AND,AND_control_0,control,0,"H.J. Experimental Forest Andrews LTER, Oregon",USA,North America,44.212058,-122.254902,2025.396,1,40000,yes,longer,primary,plants,500,woody,25,9.777777778,9,1
AND,AND_postlog_0,postlog,0,"H.J. Experimental Forest Andrews LTER, Oregon",USA,North America,44.212485,-122.255262,2025.396,150,104000,yes,longer,primary,plants,500,woody,36,9.777777778,22,2
ARC,ARC_kuparuk_0,kuparuk,0,"Arctic LTER, Alaska",USA,North America,64.89651,147.769881,298.3,0.1452,1.00E+05,no,annual,consumer,invertebrates,0.0056,river,4,-8,6,1
BNZ,BNZ_Tree_0,Tree,0,"Bonana Creek LTER, Alaska",USA,North America,64.733094,-148.306577,269,4,3500,yes,longer,primary,plants,300,woody,20,-0.15,34,2
BNZ,BNZ_Understory_0,Understory,0,"Bonana Creek LTER, Alaska",USA,North America,64.733094,-148.306577,269,1,3500,yes,longer,primary,plants,300,herbaceous,20,-0.15,34,4
BUX,BUX_PQ_0,PQ,0,"Buxton, UK",UK,Eurasia,53.262656,-1.914818,1300,6.25,1500,no,longer,primary,plants,380,herbaceous,5,8,16,1
CAS,CAS_PHYTOS_0,PHYTOS,0,"University of Notre Dame Enviromental Research Center, Michigan",USA,North America,46.012194,-89.671938,797.56,1,1100000,no,subannual,primary,phytoplankton,128,lake,4,4.444444444,7,0.019230769
CDR,CDR_e001_A,e001,A,"Cedar Creek LTER, Minnesota",USA,North America,45.402319,-93.199473,795.528,0.3,1276,no,longer,primary,plants,277,herbaceous,6,6.666666667,22,1
CDR,CDR_e001_B,e001,B,"Cedar Creek LTER, Minnesota",USA,North America,45.402319,-93.199473,795.528,0.3,1276,no,longer,primary,plants,277,herbaceous,6,6.666666667,22,1
CDR,CDR_e001_C,e001,C,"Cedar Creek LTER, Minnesota",USA,North America,45.402319,-93.199473,795.528,0.3,1276,no,longer,primary,plants,277,herbaceous,6,6.666666667,22,1
CDR,CDR_e002_A,e002,A,"Cedar Creek LTER, Minnesota",USA,North America,45.402319,-93.199473,795.528,0.3,1276,yes,longer,primary,plants,277,herbaceous,6,6.666666667,10,1
CDR,CDR_e002_B,e002,B,"Cedar Creek LTER, Minnesota",USA,North America,45.402319,-93.199473,795.528,0.3,1276,yes,longer,primary,plants,277,herbaceous,6,6.666666667,10,1
CDR,CDR_e002_C,e002,C,"Cedar Creek LTER, Minnesota",USA,North America,45.402319,-93.199473,795.528,0.3,1276,yes,longer,primary,plants,277,herbaceous,6,6.666666667,10,1
FCE,FCE_algae_0,algae,0,"Florida Coastal Everglades LTER, Florida",USA,North America,25.559,-80.779,1351.48,400,1500000,no,annual,primary,phytoplankton,NA,wetland,6,24.3,7,1
FCE,FCE_FCE_inverts_driftfence_wet_season_0,FCE_inverts_driftfence_wet_season,0,"Florida Coastal Everglades LTER, Florida",USA,North America,25.559,-80.779,1351.48,400,1500000,no,annual,consumer,invertebrates,NA,wetland,6,24.3,7,1
FCE,FCE_FCE_small_fish_movement_wet_season_0,FCE_small_fish_movement_wet_season,0,"Florida Coastal Everglades LTER, Florida",USA,North America,25.559,-80.779,1351.48,400,1500000,no,annual,consumer,fish,NA,wetland,6,24.3,7,1
GLK,GLK_PHYTOS_ERIE_0,PHYTOS_ERIE,0,Laurentian Great Lakes,USA,North America,42.2,-81.2,1059.18,3,2.57E+10,no,subannual,primary,phytoplankton,NA,lake,20,9.44,7,0.5
GLK,GLK_PHYTOS_HURON_0,PHYTOS_HURON,0,Laurentian Great Lakes,USA,North America,44.8,-82.4,728.472,3,5.96E+10,no,subannual,primary,phytoplankton,NA,lake,14,6.56,7,0.5
