DBCODE,ENTITY,ZONE,SITE,PLOT,YEAR,SPECIES,SPPCOVER
TV070,1,HS,BCC,1,1980,"Achillea millefolium",0.1
TV070,1,HS,BCC,1,1980,"Achnatherum occidentale",0.0
TV070,1,HS,BCC,1,1980,"Agoseris aurantiaca",0.0
TV070,1,HS,BCC,1,1980,"Agrostis pallens",0.1
TV070,1,HS,BCC,1,1980,"Anaphalis margaritacea",0.0
TV070,1,HS,BCC,1,1980,"Antennaria microphylla",0.0
TV070,1,HS,BCC,1,1980,"Aster ledophyllus",0.1
TV070,1,HS,BCC,1,1980,"Carex mertensii",0.1
TV070,1,HS,BCC,1,1980,"Carex microptera",0.0
TV070,1,HS,BCC,1,1980,"Carex rossii",0.0
TV070,1,HS,BCC,1,1980,"Cistanthe umbellata",0.0
TV070,1,HS,BCC,1,1980,"Cryptogramma cascadensis",0.1
TV070,1,HS,BCC,1,1980,"Elymus elymoides",0.0
TV070,1,HS,BCC,1,1980,"Eriogonum pyrolifolium",0.0
TV070,1,HS,BCC,1,1981,"Achillea millefolium",0.1
TV070,1,HS,BCC,1,1981,"Achnatherum occidentale",0.1
TV070,1,HS,BCC,1,1981,"Agoseris aurantiaca",0.1
TV070,1,HS,BCC,1,1981,"Agrostis pallens",0.1
TV070,1,HS,BCC,1,1981,"Anaphalis margaritacea",0.1
TV070,1,HS,BCC,1,1981,"Antennaria microphylla",0.1
TV070,1,HS,BCC,1,1981,"Aster ledophyllus",0.1
TV070,1,HS,BCC,1,1981,"Carex mertensii",0.1
TV070,1,HS,BCC,1,1981,"Carex microptera",0.0
TV070,1,HS,BCC,1,1981,"Carex rossii",0.0
TV070,1,HS,BCC,1,1981,"Cistanthe umbellata",0.0
TV070,1,HS,BCC,1,1981,"Cryptogramma cascadensis",0.1
TV070,1,HS,BCC,1,1981,"Elymus elymoides",0.1
TV070,1,HS,BCC,1,1981,"Eriogonum pyrolifolium",0.1
TV070,1,HS,BCC,1,1982,"Achillea millefolium",0.1
TV070,1,HS,BCC,1,1982,"Achnatherum occidentale",0.1
TV070,1,HS,BCC,1,1982,"Agoseris aurantiaca",0.1
TV070,1,HS,BCC,1,1982,"Agrostis pallens",0.1
TV070,1,HS,BCC,1,1982,"Anaphalis margaritacea",0.1
TV070,1,HS,BCC,1,1982,"Antennaria microphylla",0.1
TV070,1,HS,BCC,1,1982,"Aster ledophyllus",0.1
TV070,1,HS,BCC,1,1982,"Carex mertensii",0.1
TV070,1,HS,BCC,1,1982,"Carex microptera",0.0
TV070,1,HS,BCC,1,1982,"Carex rossii",0.0
TV070,1,HS,BCC,1,1982,"Cistanthe umbellata",0.0
TV070,1,HS,BCC,1,1982,"Cryptogramma cascadensis",0.1
TV070,1,HS,BCC,1,1982,"Elymus elymoides",0.1
TV070,1,HS,BCC,1,1982,"Eriogonum pyrolifolium",0.1
TV070,1,HS,BCC,1,1983,"Achillea millefolium",0.1
TV070,1,HS,BCC,1,1983,"Achnatherum occidentale",0.1
TV070,1,HS,BCC,1,1983,"Agoseris aurantiaca",0.0
TV070,1,HS,BCC,1,1983,"Agrostis pallens",0.1
TV070,1,HS,BCC,1,1983,"Anaphalis margaritacea",0.0
TV070,1,HS,BCC,1,1983,"Antennaria microphylla",0.1
TV070,1,HS,BCC,1,1983,"Aster ledophyllus",0.1
TV070,1,HS,BCC,1,1983,"Carex mertensii",0.1
TV070,1,HS,BCC,1,1983,"Carex microptera",0.0
TV070,1,HS,BCC,1,1983,"Carex rossii",0.0
TV070,1,HS,BCC,1,1983,"Cistanthe umbellata",0.1
TV070,1,HS,BCC,1,1983,"Cryptogramma cascadensis",0.1
TV070,1,HS,BCC,1,1983,"Elymus elymoides",0.1
TV070,1,HS,BCC,1,1983,"Eriogonum pyrolifolium",0.1
TV070,1,HS,BCC,1,1984,"Achillea millefolium",0.1
TV070,1,HS,BCC,1,1984,"Achnatherum occidentale",0.1
TV070,1,HS,BCC,1,1984,"Agoseris aurantiaca",0.0
TV070,1,HS,BCC,1,1984,"Agrostis pallens",0.1
TV070,1,HS,BCC,1,1984,"Anaphalis margaritacea",0.0
TV070,1,HS,BCC,1,1984,"Antennaria microphylla",0.1
TV070,1,HS,BCC,1,1984,"Aster ledophyllus",0.1
TV070,1,HS,BCC,1,1984,"Carex mertensii",0.1
TV070,1,HS,BCC,1,1984,"Carex microptera",0.0
TV070,1,HS,BCC,1,1984,"Carex rossii",0.1
TV070,1,HS,BCC,1,1984,"Cistanthe umbellata",0.1
TV070,1,HS,BCC,1,1984,"Cryptogramma cascadensis",0.1
TV070,1,HS,BCC,1,1984,"Elymus elymoides",0.1
TV070,1,HS,BCC,1,1984,"Eriogonum pyrolifolium",0.1
TV070,1,HS,BCC,1,1985,"Achillea millefolium",0.1
TV070,1,HS,BCC,1,1985,"Achnatherum occidentale",0.1
TV070,1,HS,BCC,1,1985,"Agoseris aurantiaca",0.0
TV070,1,HS,BCC,1,1985,"Agrostis pallens",0.1
TV070,1,HS,BCC,1,1985,"Anaphalis margaritacea",0.0
TV070,1,HS,BCC,1,1985,"Antennaria microphylla",0.1
TV070,1,HS,BCC,1,1985,"Aster ledophyllus",0.1
TV070,1,HS,BCC,1,1985,"Carex mertensii",0.1
TV070,1,HS,BCC,1,1985,"Carex microptera",0.0
TV070,1,HS,BCC,1,1985,"Carex rossii",0.1
TV070,1,HS,BCC,1,1985,"Cistanthe umbellata",0.1
TV070,1,HS,BCC,1,1985,"Cryptogramma cascadensis",0.0
TV070,1,HS,BCC,1,1985,"Elymus elymoides",0.1
TV070,1,HS,BCC,1,1985,"Eriogonum pyrolifolium",0.1
TV070,1,HS,BCC,1,1986,"Achillea millefolium",0.1
TV070,1,HS,BCC,1,1986,"Achnatherum occidentale",0.1
TV070,1,HS,BCC,1,1986,"Agoseris aurantiaca",0.0
TV070,1,HS,BCC,1,1986,"Agrostis pallens",0.1
TV070,1,HS,BCC,1,1986,"Anaphalis margaritacea",0.0
TV070,1,HS,BCC,1,1986,"Antennaria microphylla",0.1
TV070,1,HS,BCC,1,1986,"Aster ledophyllus",0.2
TV070,1,HS,BCC,1,1986,"Carex mertensii",0.1
TV070,1,HS,BCC,1,1986,"Carex microptera",0.0
TV070,1,HS,BCC,1,1986,"Carex rossii",0.1
TV070,1,HS,BCC,1,1986,"Cistanthe umbellata",0.1
TV070,1,HS,BCC,1,1986,"Cryptogramma cascadensis",0.0
TV070,1,HS,BCC,1,1986,"Elymus elymoides",0.1
TV070,1,HS,BCC,1,1986,"Eriogonum pyrolifolium",0.2
TV070,1,HS,BCC,1,1987,"Achillea millefolium",0.1
TV070,1,HS,BCC,1,1987,"Achnatherum occidentale",0.1
TV070,1,HS,BCC,1,1987,"Agoseris aurantiaca",0.0
TV070,1,HS,BCC,1,1987,"Agrostis pallens",0.1
TV070,1,HS,BCC,1,1987,"Anaphalis margaritacea",0.0
TV070,1,HS,BCC,1,1987,"Antennaria microphylla",0.1
TV070,1,HS,BCC,1,1987,"Aster ledophyllus",0.2
TV070,1,HS,BCC,1,1987,"Carex mertensii",0.1
TV070,1,HS,BCC,1,1987,"Carex microptera",0.0
TV070,1,HS,BCC,1,1987,"Carex rossii",0.1
TV070,1,HS,BCC,1,1987,"Cistanthe umbellata",0.1
TV070,1,HS,BCC,1,1987,"Cryptogramma cascadensis",0.0
TV070,1,HS,BCC,1,1987,"Elymus elymoides",0.1
TV070,1,HS,BCC,1,1987,"Eriogonum pyrolifolium",0.4
TV070,1,HS,BCC,1,1988,"Achillea millefolium",0.1
TV070,1,HS,BCC,1,1988,"Achnatherum occidentale",0.1
