sampling.id,site,date,month,day,year,doy,cham,subs,treat,method,id,genus,species,n,caste,notes,pinned,warming,target.delta
4,DF,2009-09-11,9,11,2009,254,1,A,Pre-treat,Pitfall,SLP,Aphaenogaster,rudis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,1,A,Pre-treat,Pitfall,SLP,Camponotus,pennsylvanicus,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,1,B,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,1,B,Pre-treat,Pitfall,SLP,Camponotus,castaneus,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,1,C,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,2,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,1,D,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,2,A,Pre-treat,Pitfall,SLP,Temnothorax,curvispinosus,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,2,B,Pre-treat,Pitfall,SLP,Aphaenogaster,rudis,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,2,B,Pre-treat,Pitfall,SLP,Camponotus,castaneus,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,2,C,Pre-treat,Pitfall,SLP,Camponotus,pennsylvanicus,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,2,C,Pre-treat,Pitfall,SLP,Crematogaster,lineolata,1,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,2,D,Pre-treat,Pitfall,SLP,Aphaenogaster,carolinensis,2,Worker,NA,0,NA,NA
4,DF,2009-09-11,9,11,2009,254,2,D,Pre-treat,Pitfall,SLP,Aphaenogaster,lamellidens,1,Worker,NA,0,NA,NA
