date,cham,subs,treat,warming,method,id,genus,species,n
2009-06-07,1,A,pre-treat,NA,Pitfall,IN,Neoantistea,NA,1
2009-06-07,2,A,pre-treat,NA,Pitfall,IN,Neoantistea,NA,1
2009-06-07,5,B,pre-treat,NA,Pitfall,IN,Phrurotimpus,Phrurotimpus.borealis,1
2009-06-07,5,C,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2009-06-07,8,C,pre-treat,NA,Pitfall,IN,Meioneta,Meioneta.sheffordiana,1
2009-06-07,9,A,pre-treat,NA,Pitfall,IN,Neoantistea,NA,1
2009-06-07,13,C,pre-treat,NA,Pitfall,IN,Neoantistea,NA,1
2009-06-07,15,C,pre-treat,NA,Pitfall,IN,Neoantistea,NA,1
2009-07-14,2,A,pre-treat,NA,Pitfall,IN,Cicurina,NA,1
2009-07-14,2,B,pre-treat,NA,Pitfall,IN,Neoantistea,NA,1
2009-07-14,2,B,pre-treat,NA,Pitfall,IN,Cicurina,NA,1
2009-07-14,4,A,pre-treat,NA,Pitfall,IN,Neoantistea,NA,2
2009-07-14,4,B,pre-treat,NA,Pitfall,IN,Cicurina,NA,1
2009-07-14,4,C,pre-treat,NA,Pitfall,IN,Neoantistea,NA,1
2009-07-14,7,B,pre-treat,NA,Pitfall,IN,Cicurina,NA,2
2009-07-14,7,C,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2009-07-14,8,D,pre-treat,NA,Pitfall,IN,Neoantistea,NA,1
2009-07-14,9,A,pre-treat,NA,Pitfall,IN,Wadotes,NA,2
2009-07-14,9,C,pre-treat,NA,Pitfall,IN,Tenuiphantes,Tenuiphantes.sabulosus,1
2009-07-14,9,C,pre-treat,NA,Pitfall,IN,Tenuiphantes,Tenuiphantes.zebra,1
2009-07-14,10,B,pre-treat,NA,Pitfall,IN,Agrocea,Agrocea.ornata,1
2009-07-14,10,D,pre-treat,NA,Pitfall,IN,Neoantistea,NA,1
2009-07-14,12,A,pre-treat,NA,Pitfall,IN,Neoantistea,NA,2
2009-07-14,12,B,pre-treat,NA,Pitfall,IN,Cicurina,NA,1
2009-07-14,12,D,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2009-07-14,13,C,pre-treat,NA,Pitfall,IN,Wadotes,NA,1
2009-07-14,13,C,pre-treat,NA,Pitfall,IN,Callobius,NA,1
2009-07-14,13,D,pre-treat,NA,Pitfall,IN,Neoantistea,NA,2
