Datacode,Rectype,RecYear,RecMonth,RecDay,Watershed,Repsite,Spcode,Species,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Total
cgr05,1,1983,8,8,001d,a,9,phoetaliot nebrascen,,9,8,2,4,8,8,6,,,
cgr05,1,1983,8,8,001d,a,12,melanoplus femurrubr,1,,,,,,,,,,
cgr05,1,1983,8,8,001d,a,15,melanoplus keel luri,1,,,,,,,3,1,,
cgr05,1,1983,8,8,001d,a,17,melanoplus confusus,,,2,,,,,,,,
cgr05,1,1983,8,8,001d,a,27,orphulella speciosa,22,24,24,32,16,42,22,16,8,15,
cgr05,1,1983,8,8,001d,a,45,chortophag viridifas,2,,,,,,,,,,
cgr05,1,1983,8,8,001d,a,95,total,26,33,34,34,20,50,30,25,9,15,
cgr05,1,1983,8,5,001d,b,9,phoetaliot nabrascen,,6,1,1,2,4,2,1,3,2,
cgr05,1,1983,8,5,001d,b,10,melanoplus scudderi,,,,1,,,,,1,,
cgr05,1,1983,8,5,001d,b,15,melanoplus keel luri,,,,2,1,,,1,,,
cgr05,1,1983,8,5,001d,b,27,orphulella speciosa,13,7,8,8,7,6,9,3,8,10,
cgr05,1,1983,8,5,001d,b,29,mermiria   bivittata,,,,,,,1,,,,
cgr05,1,1983,8,5,001d,b,95,total,13,13,9,12,10,10,12,5,12,12,
cgr05,1,1983,8,9,002d,a,9,phoetaliot nebrascen,2,,12,8,3,1,1,4,4,4,
cgr05,1,1983,8,9,002d,a,10,melanoplus scudderi,,,,1,1,,,1,1,,
cgr05,1,1983,8,9,002d,a,15,melanoplus keel luri,1,1,,1,,,1,1,1,,
cgr05,1,1983,8,9,002d,a,8,hesperotet species,,,,,,,,,1,,
cgr05,1,1983,8,9,002d,a,27,orphulella speciosa,6,11,20,8,6,3,7,15,17,13,
cgr05,1,1983,8,9,002d,a,95,total,9,12,22,18,10,4,9,21,24,17,
cgr05,1,1983,8,9,002d,b,9,phoetaliot nebrascen,5,3,,8,3,5,3,4,3,2,
cgr05,1,1983,8,9,002d,b,10,melanoplus scudderi,,,,,,2,,,2,2,
cgr05,1,1983,8,9,002d,b,15,melanoplus keel luri,,,,,1,,,1,,2,
cgr05,1,1983,8,9,002d,b,27,orphulella speciosa,15,7,12,8,8,7,17,5,10,11,
cgr05,1,1983,8,9,002d,b,29,mermiria   bivittata,,,,,,,,,,1,
cgr05,1,1983,8,9,002d,b,95,total,20,10,12,16,12,14,20,10,15,18,
cgr05,1,1983,8,10,002c,a,1,brachystol magna,,,,,,,,1,,,
cgr05,1,1983,8,10,002c,a,9,phoetaliot nebrascen,12,9,8,7,4,6,3,1,2,13,
cgr05,1,1983,8,10,002c,a,15,melanoplus keel luri,,,,,,,,1,,,
cgr05,1,1983,8,10,002c,a,27,orphulella speciosa,7,3,3,5,10,,2,5,4,,
cgr05,1,1983,8,10,002c,a,45,chortophag viridifas,,,,,1,,,,,,
cgr05,1,1983,8,10,002c,a,95,total,19,12,11,12,15,6,5,8,6,13,
cgr05,1,1983,8,10,002c,b,4,hypochlora alba,,,5,,1,1,1,,,,
cgr05,1,1983,8,10,002c,b,9,phoetaliot nebrascen,2,8,9,11,9,13,10,10,11,7,
cgr05,1,1983,8,10,002c,b,10,melanoplus scudderi,,1,1,,1,,,2,,1,
cgr05,1,1983,8,10,002c,b,15,melanoplus keel luri,1,4,,1,5,,5,4,4,9,
cgr05,1,1983,8,10,002c,b,8,hesperotet species,1,2,3,1,,,1,,,,
