block,plot,species,treatment,contacts,year
A,A1,Agrostis,warm,11,1994
A,A1,Anthoxanthum odoratum,warm,3,1994
A,A1,Briza media,warm,1,1994
A,A1,Campanula rotundifolia,warm,9,1994
A,A1,Carex caryophyllea,warm,5,1994
A,A1,Carex flacca,warm,32,1994
A,A1,Carex panicea,warm,3,1994
A,A1,Carex pulicaris,warm,1,1994
A,A1,Festuca ovina,warm,33,1994
A,A1,Helianthemum nummularium,warm,2,1994
A,A1,Helictotrichon pratense,warm,10,1994
A,A1,Koeleria macrantha,warm,3,1994
A,A1,Lotus corniculatus,warm,4,1994
A,A1,Thymus polytrichus,warm,13,1994
A,A3,Agrostis,control,6,1994
A,A3,Campanula rotundifolia,control,3,1994
A,A3,Carex flacca,control,38,1994
A,A3,Carex panicea,control,7,1994
A,A3,Festuca ovina,control,38,1994
A,A3,Festuca rubra,control,3,1994
A,A3,Helianthemum nummularium,control,5,1994
A,A3,Helictotrichon pratense,control,2,1994
A,A3,Koeleria macrantha,control,3,1994
A,A3,Lotus corniculatus,control,3,1994
A,A3,Potentilla erecta,control,3,1994
A,A3,Scabiosa columbaria,control,3,1994
A,A6,Agrostis,dry,6,1994
A,A6,Campanula rotundifolia,dry,6,1994
A,A6,Carex caryophyllea,dry,3,1994
A,A6,Carex flacca,dry,43,1994
A,A6,Carex panicea,dry,7,1994
A,A6,Carex pulicaris,dry,4,1994
A,A6,Cirsium palustre,dry,1,1994
A,A6,Festuca ovina,dry,39,1994
A,A6,Galium sterneri,dry,1,1994
A,A6,Helianthemum nummularium,dry,11,1994
A,A6,Helictotrichon pratense,dry,9,1994
A,A6,Hypericum pulchrum,dry,1,1994
A,A6,Koeleria macrantha,dry,4,1994
A,A6,Linum catharticum,dry,5,1994
A,A6,Lotus corniculatus,dry,1,1994
A,A6,Plantago lanceolata,dry,1,1994
A,A6,Potentilla erecta,dry,3,1994
A,A6,Sanguisorba minor,dry,11,1994
A,A6,Scabiosa columbaria,dry,9,1994
A,A6,Viola riviniana,dry,1,1994
A,A7,Agrostis,warm wet,84,1994
A,A7,Anthoxanthum odoratum,warm wet,6,1994
A,A7,Campanula rotundifolia,warm wet,1,1994
A,A7,Carex caryophyllea,warm wet,2,1994
A,A7,Carex flacca,warm wet,41,1994
A,A7,Carex panicea,warm wet,20,1994
A,A7,Cirsium palustre,warm wet,2,1994
A,A7,Danthonia decumbens,warm wet,2,1994
A,A7,Festuca ovina,warm wet,74,1994
A,A7,Galium verum,warm wet,5,1994
A,A7,Helianthemum nummularium,warm wet,2,1994
A,A7,Helictotrichon pratense,warm wet,21,1994
A,A7,Holcus lanatus,warm wet,5,1994
A,A7,Lotus corniculatus,warm wet,1,1994
A,A7,Plantago lanceolata,warm wet,3,1994
A,A7,Potentilla erecta,warm wet,13,1994
A,A8,Agrostis,warm dry,61,1994
A,A8,Anthoxanthum odoratum,warm dry,5,1994
A,A8,Campanula rotundifolia,warm dry,8,1994
A,A8,Carex flacca,warm dry,31,1994
A,A8,Carex panicea,warm dry,6,1994
A,A8,Danthonia decumbens,warm dry,3,1994
A,A8,Festuca ovina,warm dry,56,1994
A,A8,Helianthemum nummularium,warm dry,3,1994
A,A8,Helictotrichon pratense,warm dry,9,1994
A,A8,Koeleria macrantha,warm dry,3,1994
A,A8,Linum catharticum,warm dry,1,1994
A,A8,Lotus corniculatus,warm dry,12,1994
A,A8,Potentilla erecta,warm dry,4,1994
A,A8,Sanguisorba minor,warm dry,11,1994
A,A8,Scabiosa columbaria,warm dry,5,1994
A,A8,Viola riviniana,warm dry,6,1994
A,A9,Agrostis,wet,11,1994
A,A9,Anthoxanthum odoratum,wet,5,1994
A,A9,Briza media,wet,1,1994
A,A9,Campanula rotundifolia,wet,3,1994
A,A9,Carex caryophyllea,wet,1,1994
A,A9,Carex flacca,wet,75,1994
A,A9,Carex panicea,wet,26,1994
A,A9,Carex pulicaris,wet,7,1994
A,A9,Centaurea nigra,wet,1,1994
A,A9,Cirsium palustre,wet,1,1994
A,A9,Festuca ovina,wet,84,1994
A,A9,Galium verum,wet,11,1994
A,A9,Helianthemum nummularium,wet,15,1994
A,A9,Helictotrichon pratense,wet,5,1994
A,A9,Helictotrichon pubescens,wet,1,1994
A,A9,Hypericum pulchrum,wet,6,1994
A,A9,Koeleria macrantha,wet,7,1994
A,A9,Lotus corniculatus,wet,16,1994
A,A9,Plantago lanceolata,wet,1,1994
A,A9,Potentilla erecta,wet,11,1994
A,A9,Sanguisorba minor,wet,10,1994
A,A9,Scabiosa columbaria,wet,2,1994
B,B1,Agrostis,wet,50,1994
B,B1,Anthoxanthum odoratum,wet,21,1994
B,B1,Briza media,wet,4,1994
B,B1,Carex caryophyllea,wet,12,1994
B,B1,Carex flacca,wet,29,1994
B,B1,Carex panicea,wet,30,1994
B,B1,Carex pulicaris,wet,1,1994
B,B1,Cirsium palustre,wet,2,1994
B,B1,Danthonia decumbens,wet,2,1994
B,B1,Deschampsia cespitosa,wet,2,1994
B,B1,Festuca ovina,wet,124,1994
B,B1,Galium saxatile,wet,13,1994
B,B1,Galium sterneri,wet,2,1994
B,B1,Helianthemum nummularium,wet,11,1994
B,B1,Helictotrichon pratense,wet,10,1994
B,B1,Hypericum pulchrum,wet,1,1994
B,B1,Koeleria macrantha,wet,4,1994
B,B1,Lotus corniculatus,wet,1,1994
B,B1,Luzula campestris,wet,2,1994
B,B1,Nardus stricta,wet,8,1994
B,B1,Potentilla erecta,wet,11,1994
B,B1,Scabiosa columbaria,wet,3,1994
B,B1,Thymus polytrichus,wet,1,1994
B,B1,Viola riviniana,wet,3,1994
B,B3,Agrostis,warm dry,83,1994
B,B3,Anthoxanthum odoratum,warm dry,5,1994
B,B3,Briza media,warm dry,2,1994
B,B3,Campanula rotundifolia,warm dry,1,1994
B,B3,Carex caryophyllea,warm dry,7,1994
B,B3,Carex flacca,warm dry,32,1994
B,B3,Carex panicea,warm dry,45,1994
B,B3,Festuca ovina,warm dry,68,1994
B,B3,Galium saxatile,warm dry,3,1994
B,B3,Koeleria macrantha,warm dry,14,1994
B,B3,Plantago lanceolata,warm dry,2,1994
B,B3,Potentilla erecta,warm dry,11,1994
B,B3,Sanguisorba minor,warm dry,10,1994
B,B5,Agrostis,warm,82,1994
B,B5,Anthoxanthum odoratum,warm,1,1994
B,B5,Carex caryophyllea,warm,5,1994
B,B5,Carex flacca,warm,23,1994
B,B5,Carex panicea,warm,13,1994
B,B5,Danthonia decumbens,warm,2,1994
B,B5,Festuca ovina,warm,47,1994
B,B5,Helianthemum nummularium,warm,13,1994
B,B5,Helictotrichon pratense,warm,5,1994
B,B5,Hypericum pulchrum,warm,9,1994
B,B5,Koeleria macrantha,warm,2,1994
B,B5,Lathyrus linifolius,warm,15,1994
B,B5,Lotus corniculatus,warm,5,1994
B,B5,Potentilla erecta,warm,4,1994
B,B5,Scabiosa columbaria,warm,1,1994
B,B6,Agrostis,control,57,1994
B,B6,Carex flacca,control,23,1994
B,B6,Carex panicea,control,19,1994
B,B6,Danthonia decumbens,control,1,1994
B,B6,Festuca ovina,control,66,1994
B,B6,Helianthemum nummularium,control,10,1994
B,B6,Helictotrichon pratense,control,1,1994
B,B6,Koeleria macrantha,control,3,1994
B,B6,Nardus stricta,control,30,1994
B,B6,Pimpinella saxifraga,control,2,1994
B,B6,Potentilla erecta,control,5,1994
B,B6,Scabiosa columbaria,control,3,1994
B,B6,Viola riviniana,control,4,1994
B,B7,Agrostis,dry,23,1994
B,B7,Briza media,dry,2,1994
B,B7,Campanula rotundifolia,dry,3,1994
B,B7,Carex flacca,dry,31,1994
B,B7,Carex panicea,dry,13,1994
B,B7,Carex pulicaris,dry,3,1994
B,B7,Centaurea nigra,dry,7,1994
B,B7,Cirsium palustre,dry,1,1994
B,B7,Danthonia decumbens,dry,1,1994
B,B7,Festuca ovina,dry,33,1994
B,B7,Galium sterneri,dry,1,1994
B,B7,Helianthemum nummularium,dry,2,1994
B,B7,Helictotrichon pratense,dry,11,1994
B,B7,Hypericum pulchrum,dry,2,1994
B,B7,Koeleria macrantha,dry,1,1994
B,B7,Linum catharticum,dry,4,1994
B,B7,Pimpinella saxifraga,dry,1,1994
B,B7,Potentilla erecta,dry,10,1994
B,B7,Sanguisorba minor,dry,2,1994
B,B7,Scabiosa columbaria,dry,2,1994
B,B7,Viola riviniana,dry,2,1994
B,B9,Agrostis,warm wet,49,1994
B,B9,Anthoxanthum odoratum,warm wet,3,1994
B,B9,Campanula rotundifolia,warm wet,2,1994
B,B9,Carex flacca,warm wet,23,1994
B,B9,Carex panicea,warm wet,8,1994
B,B9,Dactylis glomerata,warm wet,4,1994
B,B9,Festuca ovina,warm wet,29,1994
B,B9,Helictotrichon pratense,warm wet,7,1994
B,B9,Hypericum pulchrum,warm wet,3,1994
B,B9,Koeleria macrantha,warm wet,30,1994
B,B9,Linum catharticum,warm wet,2,1994
B,B9,Lotus corniculatus,warm wet,3,1994
B,B9,Potentilla erecta,warm wet,30,1994
B,B9,Viola riviniana,warm wet,1,1994
C,C2,Agrostis,warm dry,88,1994
C,C2,Anthoxanthum odoratum,warm dry,3,1994
C,C2,Briza media,warm dry,1,1994
C,C2,Campanula rotundifolia,warm dry,4,1994
C,C2,Carex caryophyllea,warm dry,14,1994
C,C2,Carex flacca,warm dry,20,1994
C,C2,Carex panicea,warm dry,4,1994
C,C2,Festuca ovina,warm dry,39,1994
C,C2,Galium saxatile,warm dry,13,1994
C,C2,Helictotrichon pratense,warm dry,3,1994
C,C2,Hypericum pulchrum,warm dry,5,1994
C,C2,Koeleria macrantha,warm dry,2,1994
C,C2,Lathyrus linifolius,warm dry,7,1994
C,C2,Polygala serpyllifolia,warm dry,2,1994
C,C2,Potentilla erecta,warm dry,12,1994
C,C2,Sanguisorba minor,warm dry,5,1994
C,C2,Viola riviniana,warm dry,6,1994
C,C3,Agrostis,control,81,1994
C,C3,Anthoxanthum odoratum,control,4,1994
C,C3,Campanula rotundifolia,control,1,1994
C,C3,Carex caryophyllea,control,6,1994
C,C3,Carex flacca,control,18,1994
C,C3,Carex panicea,control,11,1994
C,C3,Cirsium palustre,control,2,1994
C,C3,Danthonia decumbens,control,2,1994
C,C3,Festuca ovina,control,40,1994
C,C3,Galium saxatile,control,15,1994
C,C3,Helictotrichon pratense,control,8,1994
C,C3,Hypericum pulchrum,control,1,1994
C,C3,Lathyrus linifolius,control,22,1994
C,C3,Potentilla erecta,control,26,1994
C,C3,Sanguisorba minor,control,5,1994
C,C3,Scabiosa columbaria,control,1,1994
C,C3,Vaccinium myrtillus,control,2,1994
C,C4,Agrostis,warm wet,65,1994
C,C4,Anthoxanthum odoratum,warm wet,12,1994
C,C4,Briza media,warm wet,1,1994
C,C4,Campanula rotundifolia,warm wet,2,1994
C,C4,Carex caryophyllea,warm wet,2,1994
C,C4,Carex flacca,warm wet,14,1994
C,C4,Carex panicea,warm wet,12,1994
C,C4,Dactylis glomerata,warm wet,3,1994
C,C4,Festuca ovina,warm wet,69,1994
C,C4,Galium saxatile,warm wet,10,1994
C,C4,Helictotrichon pratense,warm wet,1,1994
C,C4,Hypericum pulchrum,warm wet,7,1994
C,C4,Koeleria macrantha,warm wet,8,1994
C,C4,Lathyrus linifolius,warm wet,3,1994
C,C4,Lotus corniculatus,warm wet,2,1994
C,C4,Potentilla erecta,warm wet,40,1994
C,C4,Senecio jacobaea,warm wet,1,1994
C,C4,Viola riviniana,warm wet,1,1994
C,C5,Agrostis,warm,14,1994
C,C5,Campanula rotundifolia,warm,2,1994
C,C5,Carex flacca,warm,11,1994
C,C5,Carex panicea,warm,5,1994
C,C5,Danthonia decumbens,warm,4,1994
C,C5,Festuca ovina,warm,73,1994
C,C5,Helictotrichon pratense,warm,7,1994
C,C5,Hypericum pulchrum,warm,2,1994
C,C5,Koeleria macrantha,warm,3,1994
C,C5,Lotus corniculatus,warm,31,1994
C,C5,Potentilla erecta,warm,6,1994
C,C5,Sanguisorba minor,warm,15,1994
C,C5,Scabiosa columbaria,warm,9,1994
C,C5,Thymus polytrichus,warm,1,1994
C,C5,Viola riviniana,warm,3,1994
