DBCODE,ENTITY,WATERSHED,PLOTID,YEAR,PLOT,MICROPLOT,STEMTAG,CLUMPTAG,OLDTAG,OLDCLUMP,NEARTAG,TREE_SPP,MEASPNT,STEMCOUNT,STATUS,VIGOR,CLPSTEMS,BASDIAM,DBH,COMMENTS
TP041,3,WS10,"WS100001",1976,1,U04,NONE,-1,,,,THPL,B,1,1,9,,4.0,,""
TP041,3,WS10,"WS100001",1976,1,U06,NONE,-1,,,,PSME,B,1,1,9,,,,"PLANTED, NO DIAM TAKEN"
TP041,3,WS10,"WS100001",1976,1,U06,NONE,-1,,,,PSME,B,2,1,9,,,,"PLANTED, NO DIAM TAKEN"
TP041,3,WS10,"WS100001",1977,1,U06,33N,-1,,,,PSME,B,1,1,9,,,,"PLANTED, NO DIAM TAKEN"
TP041,3,WS10,"WS100001",1977,1,U06,NONE,-1,,,,PSME,B,1,1,9,,,,"PLANTED, NO DIAM TAKEN"
TP041,3,WS10,"WS100001",1978,1,L02,NONE,-1,,,,CACH,B,1,1,9,,0.4,,""
TP041,3,WS10,"WS100001",1978,1,L02,NONE,-1,,,,CACH,B,2,1,9,,0.4,,""
TP041,3,WS10,"WS100001",1978,1,L02,NONE,-1,,,,CACH,B,3,1,9,,0.4,,""
TP041,3,WS10,"WS100001",1978,1,L02,NONE,-1,,,,CACH,B,4,1,9,,0.4,,""
TP041,3,WS10,"WS100001",1978,1,L02,NONE,-1,,,,CACH,B,5,1,9,,1.0,,""
TP041,3,WS10,"WS100001",1978,1,L02,NONE,-1,,,,CACH,B,6,1,9,,1.0,,""
TP041,3,WS10,"WS100001",1978,1,L02,NONE,-1,,,,CACH,B,7,1,9,,1.8,,""
TP041,3,WS10,"WS100001",1978,1,L08,NONE,-1,,,,CACH,B,1,1,9,,0.4,,""
TP041,3,WS10,"WS100001",1978,1,L08,NONE,-1,,,,CACH,B,2,1,9,,0.4,,""
TP041,3,WS10,"WS100001",1978,1,L08,NONE,-1,,,,CACH,B,3,1,9,,0.4,,""
TP041,3,WS10,"WS100001",1978,1,L08,NONE,-1,,,,CACH,B,4,1,9,,0.4,,""
