DBCODE,ENTITY,WATERSHED,PLOTID,YEAR,PLOT,SPECIES,STRATUM,COVER,FREQ
TP041,4,WS10,"WS100001",1973,1,"ACCI",S,8.0,11
TP041,4,WS10,"WS100001",1973,1,"BENE",S,9.0,27
TP041,4,WS10,"WS100001",1973,1,"CACH",M,15.0,0
TP041,4,WS10,"WS100001",1973,1,"CACH",S,14.0,29
TP041,4,WS10,"WS100001",1973,1,"CHUM",S,0.0,4
TP041,4,WS10,"WS100001",1973,1,"COMA3",S,0.0,2
TP041,4,WS10,"WS100001",1973,1,"CONU",S,16.0,22
TP041,4,WS10,"WS100001",1973,1,"GASH",S,30.0,71
TP041,4,WS10,"WS100001",1973,1,"GOOB",S,0.0,2
TP041,4,WS10,"WS100001",1973,1,"HIAL",S,0.0,2
TP041,4,WS10,"WS100001",1973,1,"LIBO2",S,6.0,62
TP041,4,WS10,"WS100001",1973,1,"PILA",M,0.0,1
TP041,4,WS10,"WS100001",1973,1,"PSME",M,30.0,5
TP041,4,WS10,"WS100001",1973,1,"PYAS",S,0.0,2
TP041,4,WS10,"WS100001",1973,1,"RHMA",S,56.0,82
TP041,4,WS10,"WS100001",1973,1,"RUUR",S,0.0,2
TP041,4,WS10,"WS100001",1973,1,"SMRA",S,0.0,1
TP041,4,WS10,"WS100001",1973,1,"THPL",M,5.0,3
TP041,4,WS10,"WS100001",1973,1,"TRLA2",S,0.0,1
TP041,4,WS10,"WS100001",1973,1,"TSHE",M,25.0,5
TP041,4,WS10,"WS100001",1973,1,"VAPA",S,2.0,4
TP041,4,WS10,"WS100001",1973,1,"VISE",S,1.0,7
TP041,4,WS10,"WS100001",1973,1,"XETE",S,7.0,13
TP041,4,WS10,"WS100002",1973,2,"ACCI",S,11.0,20
TP041,4,WS10,"WS100002",1973,2,"BENE",S,19.0,44
TP041,4,WS10,"WS100002",1973,2,"CACH",M,30.0,0
TP041,4,WS10,"WS100002",1973,2,"CACH",S,5.0,11
TP041,4,WS10,"WS100002",1973,2,"COLA",S,0.0,2
TP041,4,WS10,"WS100002",1973,2,"CONU",S,1.0,2
TP041,4,WS10,"WS100002",1973,2,"GASH",S,55.0,89
TP041,4,WS10,"WS100002",1973,2,"GATR",S,0.0,2
TP041,4,WS10,"WS100002",1973,2,"LIBO2",S,1.0,7
TP041,4,WS10,"WS100002",1973,2,"POMU",S,0.0,2
TP041,4,WS10,"WS100002",1973,2,"PSME",M,20.0,5
TP041,4,WS10,"WS100002",1973,2,"RHMA",S,69.0,87
TP041,4,WS10,"WS100002",1973,2,"RUUR",S,0.0,2
TP041,4,WS10,"WS100002",1973,2,"TSHE",M,20.0,2
TP041,4,WS10,"WS100002",1973,2,"XETE",S,1.0,4
TP041,4,WS10,"WS100003",1973,3,"ACCI",S,13.0,20
TP041,4,WS10,"WS100003",1973,3,"BENE",S,7.0,20
TP041,4,WS10,"WS100003",1973,3,"CACH",M,15.0,0
TP041,4,WS10,"WS100003",1973,3,"CACH",S,9.0,18
TP041,4,WS10,"WS100003",1973,3,"CHME",S,0.0,2
TP041,4,WS10,"WS100003",1973,3,"CHUM",S,0.0,2
TP041,4,WS10,"WS100003",1973,3,"COCOC",S,1.0,2
TP041,4,WS10,"WS100003",1973,3,"COLA",S,0.0,7
TP041,4,WS10,"WS100003",1973,3,"CONU",S,3.0,4
TP041,4,WS10,"WS100003",1973,3,"GASH",S,31.0,64
TP041,4,WS10,"WS100003",1973,3,"GATR",S,0.0,1
TP041,4,WS10,"WS100003",1973,3,"GOOB",S,0.0,2
TP041,4,WS10,"WS100003",1973,3,"IRTE",S,0.0,2
TP041,4,WS10,"WS100003",1973,3,"LIBO2",S,1.0,13
TP041,4,WS10,"WS100003",1973,3,"LIDE2",M,10.0,0
TP041,4,WS10,"WS100003",1973,3,"PILA",M,0.0,1
TP041,4,WS10,"WS100003",1973,3,"POLO2",S,0.0,1
TP041,4,WS10,"WS100003",1973,3,"POMU",S,7.0,9
TP041,4,WS10,"WS100003",1973,3,"PSME",M,25.0,2
TP041,4,WS10,"WS100003",1973,3,"RHMA",S,61.0,73
TP041,4,WS10,"WS100003",1973,3,"RUUR",S,0.0,2
TP041,4,WS10,"WS100003",1973,3,"THPL",M,15.0,5
TP041,4,WS10,"WS100003",1973,3,"TRLA2",S,0.0,8
TP041,4,WS10,"WS100003",1973,3,"TSHE",M,50.0,7
TP041,4,WS10,"WS100003",1973,3,"VISE",S,0.0,2
TP041,4,WS10,"WS100003",1973,3,"XETE",S,0.0,2
TP041,4,WS10,"WS100004",1973,4,"ACCI",S,7.0,11
TP041,4,WS10,"WS100004",1973,4,"ACTR",S,0.0,2
TP041,4,WS10,"WS100004",1973,4,"ANDE",S,3.0,16
TP041,4,WS10,"WS100004",1973,4,"ANLY",S,0.0,1
TP041,4,WS10,"WS100004",1973,4,"BENE",S,29.0,56
TP041,4,WS10,"WS100004",1973,4,"CONU",S,24.0,33
TP041,4,WS10,"WS100004",1973,4,"DIHO",S,0.0,2
TP041,4,WS10,"WS100004",1973,4,"GASH",S,15.0,42
TP041,4,WS10,"WS100004",1973,4,"LIBO2",S,5.0,36
TP041,4,WS10,"WS100004",1973,4,"POMU",S,2.0,9
TP041,4,WS10,"WS100004",1973,4,"PSME",M,35.0,0
TP041,4,WS10,"WS100004",1973,4,"RHMA",S,69.0,78
TP041,4,WS10,"WS100004",1973,4,"ROGY",S,0.0,2
TP041,4,WS10,"WS100004",1973,4,"RUUR",S,0.0,2
TP041,4,WS10,"WS100004",1973,4,"SMRA",S,1.0,2
TP041,4,WS10,"WS100004",1973,4,"SMST",S,1.0,7
TP041,4,WS10,"WS100004",1973,4,"SYRE",S,0.0,1
TP041,4,WS10,"WS100004",1973,4,"TABR",M,10.0,10
TP041,4,WS10,"WS100004",1973,4,"THPL",M,5.0,0
TP041,4,WS10,"WS100004",1973,4,"TRLA2",S,0.0,2
TP041,4,WS10,"WS100004",1973,4,"TROV",S,1.0,4
TP041,4,WS10,"WS100004",1973,4,"TSHE",M,60.0,15
TP041,4,WS10,"WS100004",1973,4,"VAHE",S,0.0,4
TP041,4,WS10,"WS100004",1973,4,"VAPA",S,0.0,2
TP041,4,WS10,"WS100004",1973,4,"VISE",S,1.0,11
TP041,4,WS10,"WS100004",1973,4,"XETE",S,3.0,9
TP041,4,WS10,"WS100005",1973,5,"ACCI",S,47.0,57
TP041,4,WS10,"WS100005",1973,5,"ACTR",S,0.0,2
TP041,4,WS10,"WS100005",1973,5,"ANDE",S,1.0,31
TP041,4,WS10,"WS100005",1973,5,"ANLY",S,0.0,4
TP041,4,WS10,"WS100005",1973,5,"BENE",S,5.0,31
TP041,4,WS10,"WS100005",1973,5,"CACH",S,0.0,1
TP041,4,WS10,"WS100005",1973,5,"CHME",S,0.0,1
TP041,4,WS10,"WS100005",1973,5,"CHUM",S,0.0,1
TP041,4,WS10,"WS100005",1973,5,"COCOC",S,0.0,1
TP041,4,WS10,"WS100005",1973,5,"COLA",S,5.0,49
TP041,4,WS10,"WS100005",1973,5,"CONU",S,28.0,36
TP041,4,WS10,"WS100005",1973,5,"DIHO",S,0.0,1
TP041,4,WS10,"WS100005",1973,5,"GASH",S,14.0,47
TP041,4,WS10,"WS100005",1973,5,"GATR",S,0.0,2
TP041,4,WS10,"WS100005",1973,5,"GOOB",S,0.0,4
TP041,4,WS10,"WS100005",1973,5,"HIAL",S,0.0,1
TP041,4,WS10,"WS100005",1973,5,"LIBO2",S,4.0,37
TP041,4,WS10,"WS100005",1973,5,"POMU",S,11.0,20
TP041,4,WS10,"WS100005",1973,5,"PSME",M,5.0,0
TP041,4,WS10,"WS100005",1973,5,"RHMA",S,47.0,67
TP041,4,WS10,"WS100005",1973,5,"RUUR",S,0.0,2
TP041,4,WS10,"WS100005",1973,5,"SEBO",S,0.0,11
TP041,4,WS10,"WS100005",1973,5,"SMRA",S,0.0,1
TP041,4,WS10,"WS100005",1973,5,"SMST",S,0.0,1
TP041,4,WS10,"WS100005",1973,5,"SYRE",S,0.0,2
TP041,4,WS10,"WS100005",1973,5,"TABR",M,0.0,10
TP041,4,WS10,"WS100005",1973,5,"THPL",M,10.0,0
TP041,4,WS10,"WS100005",1973,5,"TRLA2",S,0.0,2
TP041,4,WS10,"WS100005",1973,5,"TROV",S,0.0,4
TP041,4,WS10,"WS100005",1973,5,"TSHE",M,20.0,5
TP041,4,WS10,"WS100005",1973,5,"VAHE",S,0.0,4
TP041,4,WS10,"WS100005",1973,5,"VAPA",S,0.0,1
TP041,4,WS10,"WS100005",1973,5,"VISE",S,1.0,22
TP041,4,WS10,"WS100005",1973,5,"XETE",S,1.0,7
TP041,4,WS10,"WS100006",1973,6,"ACCI",S,52.0,60
TP041,4,WS10,"WS100006",1973,6,"ACTR",S,0.0,4
