Site,Stream Type,Sample Type,Date,station (m),Trial,RHYAC,BRACHY,NATARSIA,ORTHO,OTHCHIR,CHIPUPA,BLACK,BLKPUPA,BAETIS,BAETSP3,EPHEM,CINYG,NEMOURA,TIPULA,SNAILS
1,tundra,benthic,14-Jul-84,-500,1,,0,,55,,,123,,11,,,,,,
1,tundra,benthic,14-Jul-84,-400,1,,12,,10,,,32,,10,,,,,,
1,tundra,benthic,14-Jul-84,140,1,,7,,27,,,84,,29,,,,,,
1,tundra,benthic,14-Jul-84,340,1,,1,,40,,,18,,33,,,,,,
1,tundra,benthic,14-Jul-84,590,1,,7,,25,,,12,,15,,,,,,
1,tundra,benthic,14-Jul-84,2000,1,,39,,25,,,27,,13,,,,,,
1,tundra,benthic,14-Jul-84,3000,1,,10,,56,,,29,,23,,,,,,
1,tundra,benthic,14-Jul-84,-500,2,,2,,19,,,46,,4,,,,,,
1,tundra,benthic,14-Jul-84,-400,2,,2,,46,,,123,,17,,,,,,
1,tundra,benthic,14-Jul-84,140,2,,4,,21,,,28,,23,,,,,,
1,tundra,benthic,14-Jul-84,340,2,,9,,47,,,32,,2,,,,,,
1,tundra,benthic,14-Jul-84,590,2,,7,,18,,,3,,4,,,,,,
1,tundra,benthic,14-Jul-84,1000,2,,13,,11,,,3,,5,,,,,,
1,tundra,benthic,14-Jul-84,2000,2,,9,,54,,,53,,16,,,,,,
1,tundra,benthic,14-Jul-84,3000,2,,1,,7,,,3,,2,,,,,,
1,tundra,benthic,14-Jul-84,-500,3,,1,,20,,,21,,2,,,,,,
1,tundra,benthic,14-Jul-84,-400,3,,10,,21,,,21,,8,,,,,,
1,tundra,benthic,14-Jul-84,140,3,,3,,20,,,9,,1,,,,,,
1,tundra,benthic,14-Jul-84,340,3,,0,,21,,,2,,3,,,,,,
1,tundra,benthic,14-Jul-84,590,3,,8,,25,,,6,,33,,,,,,
1,tundra,benthic,14-Jul-84,2000,3,,19,,42,,,32,,20,,,,,,
1,tundra,benthic,14-Jul-84,3000,3,,7,,12,,,14,,5,,,,,,
1,tundra,benthic,14-Jul-84,1000,5,,12,,29,,,23,,19,,,,,,
1,tundra,benthic,14-Jul-84,1000,6,,12,,63,,,43,,29,,,,,,
1,tundra,benthic,11-Jul-85,-1000,1,0,0,,36,,,346,,51,,0,0,0,,
1,tundra,benthic,11-Jul-85,-500,1,0,0,,33,,,328,,74,,0,1,0,,
1,tundra,benthic,11-Jul-85,-400,1,0,1,,38,,,104,,33,,1,1,0,,
1,tundra,benthic,11-Jul-85,140,1,0,0,,69,,,40,,37,,2,0,0,,
1,tundra,benthic,11-Jul-85,340,1,0,0,,22,,,48,,48,,1,0,1,,
1,tundra,benthic,11-Jul-85,590,1,0,7,,31,,,83,,32,,0,0,0,,
1,tundra,benthic,11-Jul-85,740,1,0,4,,10,,,90,,70,,0,0,0,,
1,tundra,benthic,11-Jul-85,1000,1,0,9,,10,,,154,,36,,0,0,2,,
1,tundra,benthic,11-Jul-85,2000,1,0,0,,7,192,,56,,17,,0,0,0,,
1,tundra,benthic,11-Jul-85,3000,1,1,10,,10,,,88,,48,,0,0,0,,
1,tundra,benthic,11-Jul-85,-1000,2,0,2,,18,,,143,,30,,0,0,0,,
1,tundra,benthic,11-Jul-85,-500,2,0,0,,22,,,103,,39,,0,0,1,,
1,tundra,benthic,11-Jul-85,-400,2,0,1,,13,,,144,,26,,0,0,0,,
1,tundra,benthic,11-Jul-85,140,2,0,0,,36,,,86,,57,,0,0,0,,
1,tundra,benthic,11-Jul-85,340,2,0,0,,31,,,644,,162,,0,0,1,,
1,tundra,benthic,11-Jul-85,590,2,0,8,,18,,,304,,90,,0,0,0,,
1,tundra,benthic,11-Jul-85,740,2,0,3,,10,,,146,,45,,0,0,0,,
1,tundra,benthic,11-Jul-85,1000,2,0,4,,6,,,229,,36,,0,0,0,,
1,tundra,benthic,11-Jul-85,2000,2,0,9,,3,648,,154,,10,,0,0,0,,
1,tundra,benthic,11-Jul-85,3000,2,0,5,,8,,,45,,21,,0,0,1,,
1,tundra,benthic,11-Jul-85,-1000,3,0,0,,34,,,30,,17,,0,0,1,,
1,tundra,benthic,11-Jul-85,-500,3,0,0,,32,,,250,,31,,0,0,1,,
1,tundra,benthic,11-Jul-85,-400,3,0,2,,28,,,112,,33,,0,0,0,,
1,tundra,benthic,11-Jul-85,140,3,0,1,,27,,,40,,52,,1,0,0,,
1,tundra,benthic,11-Jul-85,590,3,0,7,,31,,,392,,50,,0,0,1,,
1,tundra,benthic,11-Jul-85,740,3,0,2,,22,,,336,,62,,0,0,1,,
1,tundra,benthic,11-Jul-85,1000,3,0,4,,12,,,82,,72,,0,0,2,,
1,tundra,benthic,11-Jul-85,2000,3,0,10,,5,440,,71,,14,,1,0,0,,
1,tundra,benthic,11-Jul-85,3000,3,0,19,,12,,,62,,38,,0,0,0,,
1,tundra,benthic,19-Jul-85,-1000,1,0,3,,11,,,1432,,400,,0,0,1,,
1,tundra,benthic,19-Jul-85,-500,1,0,0,,16,,,4,,16,,0,2,0,,
1,tundra,benthic,19-Jul-85,-400,1,0,0,,26,,,90,,41,,0,2,0,,
1,tundra,benthic,19-Jul-85,140,1,1,10,,30,,,22,,19,,0,0,0,,
1,tundra,benthic,19-Jul-85,340,1,0,5,,25,,,403,,130,,0,0,0,,
1,tundra,benthic,19-Jul-85,590,1,0,1,,32,,,264,,116,,0,4,0,,
1,tundra,benthic,19-Jul-85,1000,1,0,18,,12,,,520,,232,,0,0,8,,
1,tundra,benthic,19-Jul-85,2000,1,0,19,,4,,,86,,7,,1,0,0,,
1,tundra,benthic,19-Jul-85,3000,1,0,6,,7,,,220,,74,,2,0,0,,
1,tundra,benthic,19-Jul-85,3500,1,0,14,,2,,,141,,176,,0,1,0,,
1,tundra,benthic,19-Jul-85,-1000,2,0,2,,16,,,106,,51,,0,1,0,,
1,tundra,benthic,19-Jul-85,-500,2,0,2,,14,,,196,,44,,0,0,0,,
1,tundra,benthic,19-Jul-85,-400,2,0,2,,14,,,460,,70,,1,0,2,,
1,tundra,benthic,19-Jul-85,140,2,0,16,,29,,,62,,56,,1,1,1,,
1,tundra,benthic,19-Jul-85,340,2,1,0,,21,,,90,,44,,0,1,0,,
1,tundra,benthic,19-Jul-85,590,2,0,4,,28,,,288,,152,,1,0,1,,
1,tundra,benthic,19-Jul-85,740,2,0,13,,8,,,336,,138,,0,0,0,,
1,tundra,benthic,19-Jul-85,1000,2,2,29,,9,,,12,,15,,8,1,0,,
1,tundra,benthic,19-Jul-85,2000,2,0,24,,7,,,153,,32,,1,0,0,,
1,tundra,benthic,19-Jul-85,3000,2,1,1,,9,,,112,,40,,1,2,0,,
1,tundra,benthic,19-Jul-85,3500,2,1,38,,4,,,37,,95,,4,0,0,,
1,tundra,benthic,19-Jul-85,-1000,3,0,0,,13,,,108,,52,,0,4,4,,
1,tundra,benthic,19-Jul-85,-500,3,0,2,,11,,,56,,37,,1,4,0,,
1,tundra,benthic,19-Jul-85,-400,3,0,1,,27,,,188,,50,,0,1,2,,
1,tundra,benthic,19-Jul-85,140,3,0,15,,31,,,312,,88,,1,0,0,,
1,tundra,benthic,19-Jul-85,340,3,0,0,,43,,,600,,200,,0,0,1,,
1,tundra,benthic,19-Jul-85,590,3,0,3,,0,,,240,,100,,4,1,1,,
1,tundra,benthic,19-Jul-85,740,3,0,1,,17,,,624,,132,,1,1,0,,
1,tundra,benthic,19-Jul-85,1000,3,0,11,,2,,,428,,124,,1,0,0,,
1,tundra,benthic,19-Jul-85,2000,3,0,0,,5,,,1,,89,,3,0,1,,
1,tundra,benthic,19-Jul-85,3000,3,0,31,,4,,,88,,35,,1,0,0,,
1,tundra,benthic,12-Jul-86,-1000,1,0,12,,23,,,572,,284,,0,0,0,,
1,tundra,benthic,12-Jul-86,-500,1,0,3,,44,,,657,,432,,0,16,8,,
1,tundra,benthic,12-Jul-86,-400,1,0,7,,32,,,221,,120,,0,0,0,,
1,tundra,benthic,12-Jul-86,140,1,0,6,,8,,,568,,368,,0,0,0,,
1,tundra,benthic,12-Jul-86,340,1,0,5,,18,,,214,,178,,0,0,0,,
1,tundra,benthic,12-Jul-86,590,1,0,6,,31,,,20,,224,,3,3,0,,
1,tundra,benthic,12-Jul-86,740,1,0,10,,31,,,73,,93,,0,0,0,,
1,tundra,benthic,12-Jul-86,1000,1,0,30,,37,,,600,,576,,1,8,0,,
1,tundra,benthic,12-Jul-86,2000,1,0,0,,7,,,27,,105,,3,0,0,,
1,tundra,benthic,12-Jul-86,3000,1,2,32,,42,,,166,,534,,1,2,0,,
1,tundra,benthic,12-Jul-86,-1000,2,0,8,,19,,,1040,,408,,0,0,0,,
1,tundra,benthic,12-Jul-86,-500,2,0,2,,17,,,176,,124,,0,0,0,,
1,tundra,benthic,12-Jul-86,-400,2,0,0,,18,,,127,,182,,1,0,0,,
1,tundra,benthic,12-Jul-86,140,2,0,1,,3,,,0,,19,,0,0,0,,
1,tundra,benthic,12-Jul-86,340,2,0,8,,39,,,672,,472,,1,0,0,,
1,tundra,benthic,12-Jul-86,590,2,0,9,,15,,,592,,352,,0,0,1,,
1,tundra,benthic,12-Jul-86,740,2,0,45,,49,,,776,,448,,0,0,0,,
1,tundra,benthic,12-Jul-86,1000,2,0,16,,45,,,300,,272,,0,0,0,,
1,tundra,benthic,12-Jul-86,2000,2,0,0,,24,,,5,,256,,2,0,0,,
1,tundra,benthic,12-Jul-86,3000,2,0,16,,59,,,160,,312,,3,0,0,,
1,tundra,benthic,12-Jul-86,-1000,3,1,0,,7,,,26,,119,,1,2,0,,
1,tundra,benthic,12-Jul-86,-500,3,0,0,,16,,,344,,177,,0,0,0,,
1,tundra,benthic,12-Jul-86,-400,3,0,4,,18,,,944,,204,,0,0,0,,
1,tundra,benthic,12-Jul-86,140,3,0,13,,35,,,764,,340,,2,1,0,,
1,tundra,benthic,12-Jul-86,340,3,0,0,,10,,,84,,65,,0,0,0,,
1,tundra,benthic,12-Jul-86,590,3,0,13,,48,,,616,,440,,0,0,0,,
1,tundra,benthic,12-Jul-86,740,3,0,6,,24,,,40,,133,,1,5,0,,
1,tundra,benthic,12-Jul-86,1000,3,2,40,,46,,,697,,722,,0,1,0,,
1,tundra,benthic,12-Jul-86,2000,3,0,0,,26,,,64,,444,,0,1,0,,
1,tundra,benthic,12-Jul-86,3000,3,0,7,,51,,,114,,216,,7,2,0,,
1,tundra,benthic,9-Jul-87,-1000,1,0,0,0,0,58,0,1,0,1,1,4,0,0,0,0
1,tundra,benthic,9-Jul-87,-500,1,0,0,0,5,98,0,24,0,24,0,5,4,0,0,0
1,tundra,benthic,9-Jul-87,-400,1,0,0,0,4,289,0,0,0,2,0,0,0,0,0,0
1,tundra,benthic,9-Jul-87,140,1,0,3,0,13,40,0,88,0,120,0,2,1,0,0,0
1,tundra,benthic,9-Jul-87,340,1,0,0,0,13,56,0,37,0,153,0,0,0,0,0,0
1,tundra,benthic,9-Jul-87,590,1,1,0,0,3,12,0,52,0,184,0,1,5,0,0,0
1,tundra,benthic,9-Jul-87,740,1,0,2,0,11,148,0,140,0,128,0,0,0,0,0,0
1,tundra,benthic,9-Jul-87,1000,1,0,1,0,38,224,0,204,1,288,0,2,2,0,0,0
1,tundra,benthic,9-Jul-87,1400,1,0,15,0,60,136,0,376,2,520,0,2,0,0,0,0
1,tundra,benthic,9-Jul-87,2000,1,0,1,0,15,920,0,2,0,38,0,1,0,0,0,0
1,tundra,benthic,9-Jul-87,3000,1,0,27,0,45,116,0,200,6,595,0,0,1,0,0,0
1,tundra,benthic,9-Jul-87,4000,1,0,25,0,59,40,9,168,2,205,0,0,0,0,0,0
1,tundra,benthic,9-Jul-87,-1000,2,0,0,0,1,198,0,1,0,8,2,7,0,0,0,0
1,tundra,benthic,9-Jul-87,-500,2,0,0,0,10,78,0,16,0,50,0,0,1,0,0,0
1,tundra,benthic,9-Jul-87,-400,2,0,0,0,13,80,0,3,0,8,0,0,0,0,0,0
1,tundra,benthic,9-Jul-87,140,2,0,2,0,40,152,0,220,0,118,0,2,0,0,0,0
1,tundra,benthic,9-Jul-87,340,2,1,0,0,5,34,0,6,0,128,0,0,0,0,0,0
1,tundra,benthic,9-Jul-87,590,2,0,20,0,13,24,0,228,0,89,0,0,0,1,0,0
1,tundra,benthic,9-Jul-87,740,2,0,1,2,13,160,0,135,3,110,0,13,0,2,0,0
1,tundra,benthic,9-Jul-87,1000,2,1,13,0,14,240,0,104,3,256,0,4,0,0,0,0
1,tundra,benthic,9-Jul-87,1400,2,0,4,0,34,204,0,44,1,216,0,1,1,0,0,0
1,tundra,benthic,9-Jul-87,2000,2,0,8,0,68,288,0,320,0,307,0,3,0,0,0,0
1,tundra,benthic,9-Jul-87,3000,2,0,3,0,22,316,0,6,0,201,0,1,0,0,0,0
1,tundra,benthic,9-Jul-87,4000,2,0,8,0,48,56,6,46,2,128,0,0,2,0,0,0
1,tundra,benthic,9-Jul-87,-1000,3,0,1,0,31,76,0,48,0,40,0,1,0,0,0,0
1,tundra,benthic,9-Jul-87,-500,3,0,0,0,8,53,0,3,0,26,0,0,1,0,0,0
1,tundra,benthic,9-Jul-87,-400,3,0,1,0,9,122,0,0,0,11,0,0,0,0,0,0
1,tundra,benthic,9-Jul-87,140,3,0,3,0,6,66,0,52,0,46,0,0,0,0,0,0
1,tundra,benthic,9-Jul-87,340,3,0,0,0,8,24,0,11,0,99,0,0,2,0,0,0
1,tundra,benthic,9-Jul-87,590,3,0,1,0,12,68,0,52,0,194,0,1,0,0,0,0
1,tundra,benthic,9-Jul-87,1000,3,0,12,0,6,236,0,139,0,253,0,5,1,0,0,0
1,tundra,benthic,9-Jul-87,1400,3,0,7,0,24,212,2,124,13,144,0,3,1,0,0,0
1,tundra,benthic,9-Jul-87,2000,3,1,2,0,40,318,9,7,0,80,0,9,0,0,0,0
1,tundra,benthic,9-Jul-87,3000,3,0,16,0,13,256,0,6,0,128,0,1,0,0,0,0
1,tundra,benthic,9-Jul-87,4000,3,0,5,0,86,40,0,26,1,166,0,2,0,0,0,0
