Datacode,Rectype,RecYear,RecMonth,RecDay,Watershed,Repsite,Spcode,Species,FirstInstar,SecondInstar,ThirdInstar,FourthInstar,FifthInstar,Female,Male,Total
cgr05,3,1983,8,8,001d,a,9,phoetaliot nebrascen,,,23,58,,,,81
cgr05,3,1983,8,8,001d,a,10,melanoplus scudderi,,,,1,2,,,3
cgr05,3,1983,8,8,001d,a,12,melanoplus femurrubr,,,,2,,,,2
cgr05,3,1983,8,8,001d,a,15,melanoplus keel luri,,,,3,4,,1,8
cgr05,3,1983,8,8,001d,a,17,melanoplus confusus,,,,,,1,1,2
cgr05,3,1983,8,8,001d,a,27,orphulella speciosa,,,2,7,106,92,167,374
cgr05,3,1983,8,8,001d,a,45,chortophag viridifas,,2,,,,,,2
cgr05,3,1983,8,8,001d,a,95,total,,2,25,71,112,93,169,472
cgr05,3,1983,8,5,001d,b,9,phoetaliot nebrascen,,,3,38,,,,41
cgr05,3,1983,8,5,001d,b,10,melanoplus scudderi,,,,2,6,,,8
cgr05,3,1983,8,5,001d,b,15,melanoplus keel luri,,,,5,2,,,7
cgr05,3,1983,8,5,001d,b,25,eritettix  simplex,,1,,,,,,1
cgr05,3,1983,8,5,001d,b,27,orphulella speciosa,,,,2,31,45,54,129
cgr05,3,1983,8,5,001d,b,29,mermiria   bivittata,,,,,,,1,1
cgr05,3,1983,8,5,001d,b,95,total,,1,3,47,39,45,55,187
cgr05,3,1983,8,9,002d,a,9,phoetaliot nebrascen,,1,45,11,,,,57
cgr05,3,1983,8,9,002d,a,10,melanoplus scudderi,,,1,6,3,,,10
cgr05,3,1983,8,9,002d,a,15,melanoplus keel luri,,,7,,,,,7
cgr05,3,1983,8,9,002d,a,8,hesperotet species,,,1,,,,,1
cgr05,3,1983,8,9,002d,a,27,orphulella speciosa,,,12,45,105,1,17,180
cgr05,3,1983,8,9,002d,a,95,total,,1,66,62,108,1,17,255
cgr05,3,1983,8,9,002d,b,9,phoetaliot nebrascen,,1,72,30,,,,103
cgr05,3,1983,8,9,002d,b,10,melanoplus scudderi,,,3,6,,,,9
cgr05,3,1983,8,9,002d,b,15,melanoplus keel luri,,,4,1,,,,5
cgr05,3,1983,8,9,002d,b,27,orphulella speciosa,,,7,71,126,2,19,225
cgr05,3,1983,8,9,002d,b,29,mermiria   bivittata,,,1,1,1,,,3
cgr05,3,1983,8,9,002d,b,95,total,,1,87,109,127,2,19,345
cgr05,3,1983,8,10,002c,a,1,brachystol magna,,,,,,1,,1
cgr05,3,1983,8,10,002c,a,9,phoetaliot nebrascen,,,15,132,18,,,165
cgr05,3,1983,8,10,002c,a,10,melanoplus scudderi,,,2,4,3,,,9
cgr05,3,1983,8,10,002c,a,15,melanoplus keel luri,,,1,1,1,,,3
cgr05,3,1983,8,10,002c,a,16,melanoplus bivittatu,,,,,,,1,1
cgr05,3,1983,8,10,002c,a,17,melanoplus confusus,,,,,,,1,1
cgr05,3,1983,8,10,002c,a,8,hesperotet species,,,,6,2,,,8
cgr05,3,1983,8,10,002c,a,27,orphulella speciosa,,,,1,9,47,63,120
cgr05,3,1983,8,10,002c,a,32,boopedon   auriventr,,,,,,,1,1
cgr05,3,1983,8,10,002c,a,45,chortophag viridifas,,,1,,,,,1
cgr05,3,1983,8,10,002c,a,95,total,,,19,144,33,48,66,310
cgr05,3,1983,8,10,002c,b,4,hypochlora alba,,,,1,1,8,12,22
cgr05,3,1983,8,10,002c,b,9,phoetaliot nebrascen,,,11,148,19,,1,179
cgr05,3,1983,8,10,002c,b,10,melanoplus scudderi,,,,10,15,,1,26
cgr05,3,1983,8,10,002c,b,15,melanoplus keel luri,,,11,22,19,,,52
cgr05,3,1983,8,10,002c,b,8,hesperotet species,,,5,4,,1,,10
cgr05,3,1983,8,10,002c,b,25,eritettix  simplex,,2,,,,,,2
cgr05,3,1983,8,10,002c,b,27,orphulella speciosa,,,,2,27,57,100,186
cgr05,3,1983,8,10,002c,b,29,mermiria   bivittata,,,,1,1,,1,3
cgr05,3,1983,8,10,002c,b,32,boopedon   auriventr,,,,,,,1,1
