DATACODE,RECTYPE,RECYEAR,RECMONTH,RECDAY,WATERSHED,SOILTYPE,REPSITE,SPCODE,SPECIES,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,TOTAL,COMMENTS
CGR02,2,1982,7,7,001d,fl,a,9,phoetaliot nebrascen,,,,2,,,,1,1,1,5,
CGR02,2,1982,7,7,001d,fl,a,10,melanoplus scudderi,,,,1,,,,,,,1,
CGR02,2,1982,7,7,001d,fl,a,16,melanoplus bivittatu,,,,,2,,,1,1,,4,
CGR02,2,1982,7,7,001d,fl,a,17,melanoplus confusus,,,,,,,,,2,,2,
CGR02,2,1982,7,7,001d,fl,a,27,orphulella speciosa,10,5,3,11,6,13,8,2,6,1,65,
CGR02,2,1982,7,7,001d,fl,a,29,mermiria bivittata,,1,,,,,,,,,1,
CGR02,2,1982,7,8,001d,fl,b,9,phoetaliot nebrascen,,,,,,,,1,,,1,
CGR02,2,1982,7,8,001d,fl,b,15,melanoplus keeleri,,,,,,1,,1,,,2,
CGR02,2,1982,7,8,001d,fl,b,16,melanoplus bivittatu,,1,,,,,1,,,1,3,
CGR02,2,1982,7,8,001d,fl,b,27,orphulella speciosa,1,,,2,3,6,2,1,1,1,17,
CGR02,2,1982,7,8,001d,tu,a,9,phoetaliot nebrascen,1,2,,,1,,1,,,,5,
CGR02,2,1982,7,8,001d,tu,a,27,orphulella speciosa,17,22,22,11,11,14,26,3,5,1,132,
CGR02,2,1982,7,8,001d,tu,b,9,phoetaliot nebrascen,,,,,,,1,,,,1,
CGR02,2,1982,7,8,001d,tu,b,15,melanoplus keeleri,,,,,,,1,,,,1,
CGR02,2,1982,7,8,001d,tu,b,16,melanoplus bivittatu,,,,,,1,,,,,1,
CGR02,2,1982,7,8,001d,tu,b,27,orphulella speciosa,2,,1,1,1,,7,1,1,1,15,
CGR02,2,1982,7,12,004b,fl,a,4,hypochlora alba,,,,2,2,,1,,,2,7,
CGR02,2,1982,7,12,004b,fl,a,6,hesperotet speciosus,,1,1,1,,,,,,,3,
CGR02,2,1982,7,12,004b,fl,a,9,phoetaliot nebrascen,,,2,1,1,1,3,,,,8,
CGR02,2,1982,7,12,004b,fl,a,10,melanoplus scudderi,1,1,2,3,1,,,,,,8,
CGR02,2,1982,7,12,004b,fl,a,15,melanoplus keeleri,3,,1,2,3,1,,1,,2,13,
