Datacode,Rectype,Recyear,Recmonth,Recday,Watershed,Repsite,Spcode,Genus,Species,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Total,Comments
PBG07,2,2010,8,21,c03c,a,9,phoetaliot,nebrascen,,,,,,,,,,1,1,
PBG07,2,2010,8,21,c03c,a,21,orphulella,speciosa,1,,,,,2,2,1,2,1,9,
PBG07,2,2010,8,21,c03c,b,5,campylacan,olivacea,,,1,,,1,,,1,,,
PBG07,2,2010,8,21,c03c,b,21,orphulella,speciosa,1,,1,1,1,2,2,1,2,,,
PBG07,2,2010,8,21,c03c,b,31,chortophag,viridifas,,,,,1,,,,,,,
PBG07,2,2010,8,21,c03c,b,20,syrbula,admirabil,,,1,,,,,,,,,
PBG07,2,2010,8,21,c03c,c,9,phoetaliot,nebrascen,,,,1,,,1,,,,2,
PBG07,2,2010,8,21,c03c,c,10,melanoplus,scudderi,,,1,,,,,,,,1,
PBG07,2,2010,8,21,c03c,c,16,melanoplus,bivittatu,1,,,,,,,,,,1,
PBG07,2,2010,8,21,c03c,c,20,syrbula,admirabil,1,,,,2,1,,,,,4,
PBG07,2,2010,8,21,c03c,c,21,orphulella,speciosa,2,4,4,2,2,3,2,3,2,2,26,
PBG07,2,2010,8,21,c03c,c,22,mermiria,picta,,1,1,1,,2,1,,,,6,
PBG07,2,2010,8,21,c03c,c,40,arphia,spp.,1,,,,,,,,,,1,
PBG07,2,2010,8,21,c03c,c,41,unknown,,,,1,,,,,,,,1,
PBG07,2,2010,8,21,c03c,c,43,encoptolop,sordidus,,,,,1,,,,,,1,
PBG07,2,2010,8,21,c03c,d,5,campylacan,olivacea,,,,,,,,,1,,1,
PBG07,2,2010,8,21,c03c,d,10,melanoplus,scudderi,,,1,,,,,,,1,2,
PBG07,2,2010,8,21,c03c,d,21,orphulella,speciosa,,,2,1,1,1,1,6,2,1,15,
PBG07,2,2010,8,21,c03c,d,33,arphia,xanthopte,,,,,,,,1,,,1,
PBG07,2,2010,8,21,c01a,a,5,campylacan,olivacea,,,,,1,,,,1,,2,
PBG07,2,2010,8,21,c01a,a,9,phoetaliot,nebrascen,,1,,,,,,,,,1,
PBG07,2,2010,8,21,c01a,a,10,melanoplus,scudderi,,,1,,,,,1,,,2,
PBG07,2,2010,8,21,c01a,a,12,melanoplus,femurrubr,,,,,,,,2,,,2,
PBG07,2,2010,8,21,c01a,a,21,orphulella,speciosa,5,2,1,4,2,1,1,3,,3,22,
PBG07,2,2010,8,21,c01a,a,38,pardalopho,apiculata,,,,,,1,,,,,1,
PBG07,2,2010,8,21,c01a,b,9,phoetaliot,nebrascen,1,2,,,,,,,,,3,
PBG07,2,2010,8,21,c01a,b,12,melanoplus,femurrubr,,,,,,,,,1,,1,
PBG07,2,2010,8,21,c01a,b,15,melanoplus,keeleri,,,,1,,,,,,,1,
PBG07,2,2010,8,21,c01a,b,21,orphulella,speciosa,1,3,1,3,3,,7,2,,,20,
PBG07,2,2010,8,21,c01a,b,49,encoptolop,subgracil,,1,,,,,,,,,1,
PBG07,2,2010,8,21,c01a,b,52,encoptolop,spp.,,,,,,,1,,,,1,
PBG07,2,2010,8,21,c01a,c,4,hypochlora,alba,,,,,,,,,,1,1,
PBG07,2,2010,8,21,c01a,c,5,campylacan,olivacea,,,,,,,,,,1,1,
PBG07,2,2010,8,21,c01a,c,9,phoetaliot,nebrascen,,,,,,1,,,,,1,
PBG07,2,2010,8,21,c01a,c,12,melanoplus,femurrubr,,,,,,2,2,,,2,6,
PBG07,2,2010,8,21,c01a,c,15,melanoplus,keeleri,1,,,1,,2,,1,,1,6,
PBG07,2,2010,8,21,c01a,c,18,melanoplus,spp.,,,,1,,,,,,,1,
PBG07,2,2010,8,21,c01a,c,21,orphulella,speciosa,1,3,,,2,2,1,,,1,10,
PBG07,2,2010,8,21,c01a,c,43,encoptolop,sordidus,,,,1,,,,,,,1,
PBG07,2,2010,8,21,c01a,c,49,encoptolop,subgracil,,,,,,,,,1,,1,
PBG07,2,2010,8,21,c01a,d,4,hypochlora,alba,,1,,,,,,,,,1,
PBG07,2,2010,8,21,c01a,d,9,phoetaliot,nebrascen,,,1,1,,,,,,1,3,
PBG07,2,2010,8,21,c01a,d,20,syrbula,admirabil,,,1,,,,,,,,1,
PBG07,2,2010,8,21,c01a,d,21,orphulella,speciosa,3,2,4,7,2,3,2,4,3,2,32,
PBG07,2,2010,8,22,c03a,a,9,phoetaliot,nebrascen,,,,,,,,,1,,1,
PBG07,2,2010,8,22,c03a,a,15,melanoplus,keeleri,,,,,,,,2,,,2,
PBG07,2,2010,8,22,c03a,a,21,orphulella,speciosa,1,,,1,1,5,1,7,,3,19,
PBG07,2,2010,8,22,c03a,b,9,phoetaliot,nebrascen,,,,,,1,,,,,1,
PBG07,2,2010,8,22,c03a,b,21,orphulella,speciosa,1,1,2,1,4,1,2,,5,,17,
PBG07,2,2010,8,22,c03a,c,21,orphulella,speciosa,4,2,4,,1,3,2,2,1,2,21,
PBG07,2,2010,8,22,c03a,d,9,phoetaliot,nebrascen,,,2,,,,,,,,2,
PBG07,2,2010,8,22,c03a,d,15,melanoplus,keeleri,,,2,,,1,,,,,3,
PBG07,2,2010,8,22,c03a,d,21,orphulella,speciosa,1,7,1,4,5,1,4,1,2,1,27,
PBG07,2,2010,8,22,c03a,d,22,mermiria,picta,,1,,,1,,,,,,2,
PBG07,2,2010,8,22,c03a,d,38,pardalopho,apiculata,,,,,,,1,,,,1,
PBG07,2,2010,8,22,c03a,d,41,unknown,,,,,,1,,,,,,1,
PBG07,2,2010,8,22,c03b,a,9,phoetaliot,nebrascen,,1,,,2,,,,3,1,7,
PBG07,2,2010,8,22,c03b,a,12,melanoplus,femurrubr,,,1,,,,,,,,1,
PBG07,2,2010,8,22,c03b,a,5,campylacan,olivacea,,,,,1,,,,,,1,
PBG07,2,2010,8,22,c03b,a,21,orphulella,speciosa,1,2,,,3,2,2,1,6,,17,
PBG07,2,2010,8,22,c03b,a,22,mermiria,picta,,,1,,1,,,,,,2,
PBG07,2,2010,8,22,c03b,b,5,campylacan,olivacea,,,1,,1,,,,,,2,
PBG07,2,2010,8,22,c03b,b,9,phoetaliot,nebrascen,,,,,,,,1,1,,2,
PBG07,2,2010,8,22,c03b,b,15,melanoplus,keeleri,,,,,,,,1,,,1,
PBG07,2,2010,8,22,c03b,b,21,orphulella,speciosa,1,2,,,2,2,3,,2,1,13,
PBG07,2,2010,8,22,c03b,b,22,mermiria,picta,,,,,1,,,,,,1,
PBG07,2,2010,8,22,c03b,b,33,arphia,xanthopte,,,,,,1,,,,,1,
PBG07,2,2010,8,22,c03b,b,43,encoptolop,sordidus,,,,,1,,,,,,1,
PBG07,2,2010,8,22,c03b,c,5,campylacan,olivacea,1,,,1,,,,,,,2,
PBG07,2,2010,8,22,c03b,c,9,phoetaliot,nebrascen,,,,1,,,,,,,1,
PBG07,2,2010,8,22,c03b,c,10,melanoplus,scudderi,,,,,,1,,,1,,2,
PBG07,2,2010,8,22,c03b,c,15,melanoplus,keeleri,,,,,1,,,,,,1,
PBG07,2,2010,8,22,c03b,c,20,syrbula,admirabil,,,1,,,,,,,,1,
PBG07,2,2010,8,22,c03b,c,21,orphulella,speciosa,,3,4,4,2,,1,,1,2,17,
PBG07,2,2010,8,22,c03b,c,33,arphia,xanthopte,,1,,,,,,,,,1,
PBG07,2,2010,8,22,c03b,d,5,campylacan,olivacea,1,,,,,,,,,,1,
PBG07,2,2010,8,22,c03b,d,9,phoetaliot,nebrascen,1,1,1,,,,2,,,2,7,
PBG07,2,2010,8,22,c03b,d,21,orphulella,speciosa,,3,4,2,3,2,1,1,1,2,19,
PBG07,2,2010,8,22,c03b,d,22,mermiria,picta,1,,,,,,,1,1,,3,
PBG07,2,2011,9,19,c03a,a,5,campylacan,olivacea,,,,,,,,,,1,1,
PBG07,2,2011,9,19,c03a,a,9,phoetaliot,nebrascen,,1,,1,,,,,,,2,
PBG07,2,2011,9,19,c03a,a,15,melanoplus,keeleri,,1,,1,,1,,,,,3,
PBG07,2,2011,9,19,c03a,a,21,orphulella,speciosa,1,1,4,1,3,3,2,3,3,2,23,
PBG07,2,2011,9,19,c03a,b,12,melanoplus,femurrubr,1,,,,,,,,,,1,
PBG07,2,2011,9,19,c03a,b,15,melanoplus,keeleri,,1,,,,,,,,,1,
PBG07,2,2011,9,19,c03a,b,20,syrbula,admirabil,1,1,,,,,,,,,2,
PBG07,2,2011,9,19,c03a,b,21,orphulella,speciosa,4,3,1,2,2,2,1,3,2,1,21,
PBG07,2,2011,9,19,c03a,b,41,unknown,,,,,,,,1,,1,,2,
PBG07,2,2011,9,19,c03a,b,49,encoptolop,subgracil,,,,,,,,,,1,1,
PBG07,2,2011,9,19,c03a,c,9,phoetaliot,nebrascen,,,,,,,1,,,1,2,
PBG07,2,2011,9,19,c03a,c,20,syrbula,admirabil,,,,,,,,1,,1,2,
PBG07,2,2011,9,19,c03a,c,21,orphulella,speciosa,3,,5,1,5,3,2,3,2,1,25,
PBG07,2,2011,9,19,c03a,d,4,hypochlora,alba,,1,,,,,,,,,1,
PBG07,2,2011,9,19,c03a,d,9,phoetaliot,nebrascen,,,,1,,,,,,,1,
PBG07,2,2011,9,19,c03a,d,15,melanoplus,keeleri,1,,,,,,,,,,1,
PBG07,2,2011,9,19,c03a,d,21,orphulella,speciosa,3,2,7,1,2,2,4,3,3,1,28,
PBG07,2,2011,9,19,c03a,d,22,mermiria,picta,,,,,1,,1,,1,,3,
PBG07,2,2011,9,19,c03b,a,12,melanoplus,femurrubr,1,,,,,,,1,,,2,
PBG07,2,2011,9,19,c03b,a,15,melanoplus,keeleri,1,,1,,,,,2,,,4,
PBG07,2,2011,9,19,c03b,a,21,orphulella,speciosa,2,2,3,3,,6,1,2,3,3,25,
PBG07,2,2011,9,19,c03b,a,22,mermiria,picta,,,,,1,,,,,,1,
PBG07,2,2011,9,19,c03b,a,41,unknown,,1,,,1,1,,,,,,3,
PBG07,2,2011,9,19,c03b,b,1,brachystol,magna,,,,,,,,1,,,1,
PBG07,2,2011,9,19,c03b,b,10,melanoplus,scudderi,,,,1,,1,1,,,,3,
PBG07,2,2011,9,19,c03b,b,12,melanoplus,femurrubr,,,,,,1,,,,,1,
PBG07,2,2011,9,19,c03b,b,15,melanoplus,keeleri,,,1,,,1,,,1,,3,
PBG07,2,2011,9,19,c03b,b,20,syrbula,admirabil,,,,,,,,,1,,1,
PBG07,2,2011,9,19,c03b,b,21,orphulella,speciosa,1,6,1,,3,,1,3,3,4,22,
PBG07,2,2011,9,19,c03b,b,31,chortophag,viridifas,,,,,,1,,,,,1,
PBG07,2,2011,9,19,c03b,b,37,hippiscus,rugosus,,,,,,,,2,,,2,
PBG07,2,2011,9,19,c03b,b,40,arphia,spp.,,,,1,,,1,,,,2,
PBG07,2,2011,9,19,c03b,b,41,unknown,,,,,,1,1,,,,2,4,
PBG07,2,2011,9,19,c03b,b,49,encoptolop,subgracil,,,,,,1,,,1,,2,
PBG07,2,2011,9,19,c03b,c,3,paratylota,brunneri,,,,,,,,,,7,7,
PBG07,2,2011,9,19,c03b,c,5,campylacan,olivacea,,1,,,1,1,,,,,3,
PBG07,2,2011,9,19,c03b,c,9,phoetaliot,nebrascen,1,,,,,,,,2,,3,
PBG07,2,2011,9,19,c03b,c,12,melanoplus,femurrubr,1,,,,,,,,,,1,
PBG07,2,2011,9,19,c03b,c,15,melanoplus,keeleri,,,,,,,1,,,,1,
PBG07,2,2011,9,19,c03b,c,18,melanoplus,spp.,,,,,,,,,3,,3,
PBG07,2,2011,9,19,c03b,c,20,syrbula,admirabil,,,,,1,,,,,,1,
PBG07,2,2011,9,19,c03b,c,21,orphulella,speciosa,1,4,1,5,1,1,1,2,,,16,
PBG07,2,2011,9,19,c03b,c,40,arphia,spp.,,,,,,,,1,,,1,
PBG07,2,2011,9,19,c03b,c,41,unknown,,,,,,,,,,1,1,2,
PBG07,2,2011,9,19,c03b,c,49,encoptolop,subgracil,,,,,,,,1,,,1,
PBG07,2,2011,9,19,c03b,d,5,campylacan,olivacea,,1,,,,,,,,,1,missing page 10
PBG07,2,2011,9,19,c03b,d,9,phoetaliot,nebrascen,,1,,1,,,,1,,,3,missing page 10
PBG07,2,2011,9,19,c03b,d,10,melanoplus,scudderi,,1,,,,,,,,,1,missing page 10
