Period,Year,Month,Creek,Nutrient,Branch,Fish,Transect,Habitat,Rep,num Fabricia sabella,num Manayunkia aestuarina,num Nereis diversicolor,num Eteone heteropoda,num Captiella capitata,num Streblospio benedicti,num Polydora cornuta,num Pygospio elegans,num Marenzelleria viridis,num Hobsonia florida,num Orbiniidae,num Total polychaetes,num Paranais litoralis,num Tubificoides benedeni,num Tubificoides wasselli,num Tubificoides brownae,num Monopylephorus sp.,num Psammoryctides sp.,num Cernosvitoviella immota,num other_enchytraeids,num Unidentified oligochaetes,Total Oligochaetes,num amphipods,num talitrid amphipods,num Orchestia grillus,num gamarid amphipods,Total amphipods,num Littorophiloscia vittata,num Erichsonella attenuata,num Edotea triloba,num Hargeria rapax,num Ceratopogonidae,num Tabanidae,num Dolichopodidae,num Insect,Total Insect,num Isopoda,num Cyathura polita,Total Isopoda,num mussels,num Geukensia demissa,num Bivalve,Total Bivalve,num Melampus b.,num Gastropoda,num Mites,num Ostracod,num Springtail,num Psuedoscorpion,num Spider,num Turbellaria,num flatworm,total flatworm,num Nematostella vectensis,num  Actiniaria,total  Actiniaria,num Nemertea,num Oxyurostylis smithi,num unknown,num Limulus
Before,2003,August,Clubhead,Fertilized,L,Ambient,1,CW,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Clubhead,Fertilized,L,Ambient,2,CW,1,10,38,0,0,4,0,0,0,0,0,0,52,0,0,0,0,0,0,56,6,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Clubhead,Fertilized,L,Ambient,3,CW,1,26,26,0,0,3,0,0,0,0,0,0,55,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Clubhead,Fertilized,L,Ambient,1,CW,1,3,18,0,0,1,0,0,0,0,0,0,22,6,0,0,0,0,0,20,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Clubhead,Fertilized,L,Ambient,2,CW,1,1,1,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,July,Clubhead,Fertilized,L,Ambient,3,CW,1,2,31,0,0,1,0,0,0,0,0,0,34,1,0,0,0,0,0,9,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Clubhead,Fertilized,L,Ambient,1,CW,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Clubhead,Fertilized,L,Ambient,2,CW,1,14,12,0,0,1,1,0,0,0,0,0,28,0,0,0,0,0,0,30,2,0,32,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,June,Clubhead,Fertilized,L,Ambient,3,CW,1,67,22,1,0,1,0,0,0,0,0,0,91,113,0,1,0,0,0,42,1,0,157,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Before,2003,August,Sweeney,Fertilized,L,Ambient,1,CW,1,0,5,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
