"Experiment"	"Location"	"Plot"	"Exclosure"	"Fertilized"	"Burned"	"Date"	"Order"	"Family(Subfamily)"	"Genus"	"Specific.epithet"	"Further.ID"	"Life.stage"	"#Specimens"
e153	Field.B	1	y	y	n	8/15/2003	Orthoptera	Acrididae	Melanoplus	femurrubrum	na	na	2
e153	Field.B	1	y	y	n	8/15/2003	Orthoptera	Acrididae	Phoetaliotes	nebrascensis	na	na	2
e153	Field.B	1	y	y	n	8/15/2003	Orthoptera	Tettigoniidae	Conocephalus	saltans	na	na	4
e153	Field.B	1	y	y	n	8/15/2003	Orthoptera	Tettigoniidae	Conocephalus	brevipennis	na	na	1
e153	Field.B	1	y	y	n	8/15/2003	Orthoptera	Tettigoniidae	Conocephalus	undet	na	nymphs	2
e153	Field.B	1	y	y	n	8/15/2003	Hemiptera	Lygaeidae	Geocoris	undet	na	na	1
e153	Field.B	1	y	y	n	8/15/2003	Hemiptera	Miridae	Collaria	meilleurii	na	na	1
e153	Field.B	1	y	y	n	8/15/2003	Homoptera	Delphacidae	Delphacodes	undet	na	na	14
e153	Field.B	1	y	y	n	8/15/2003	Homoptera	Issidae	Bruchomorpha	nasuta	na	na	3
e153	Field.B	1	y	y	n	8/15/2003	Homoptera	Cercopidae	Philaenus(Philaenarcys)	bilineatus	na	na	4
e153	Field.B	1	y	y	n	8/15/2003	Homoptera	Cicadellidae	undet	undet	na	nymphs	9
e153	Field.B	1	y	y	n	8/15/2003	Homoptera	Cicadellidae	Empoasca	fabae	na	na	1
e153	Field.B	1	y	y	n	8/15/2003	Homoptera	Cicadellidae (Typhlocybinae)	Typhlocyba	undet	na	na	14
e153	Field.B	1	y	y	n	8/15/2003	Homoptera	Cicadellidae	Diplocolenus	configuratus	na	na	2
e153	Field.B	1	y	y	n	8/15/2003	Homoptera	Cicadellidae	Doratura	stylata	na	na	3
e153	Field.B	1	y	y	n	8/15/2003	Homoptera	Cicadellidae	Laevicephalus	unicoloratus	na	na	5
e153	Field.B	1	y	y	n	8/15/2003	Homoptera	Cicadellidae	Quantas	sayi?	na	na	8
e153	Field.B	1	y	y	n	8/15/2003	Homoptera	Cicadellidae	Deltocephalus	undet	sp1.gnarus?	na	2
e153	Field.B	1	y	y	n	8/15/2003	Homoptera	Psyllidae	undet	undet	sp6.other	na	1
e153	Field.B	1	y	y	n	8/15/2003	Homoptera	Psyllidae	Aphalara	undet	sp1.green.yellow	na	1
e153	Field.B	1	y	y	n	8/15/2003	Homoptera	Aphididae	undet	undet	na	na	8
e153	Field.B	1	y	y	n	8/15/2003	Thysanoptera	undet	undet	undet	sp2.black	na	3
e153	Field.B	1	y	y	n	8/15/2003	Thysanoptera	undet	undet	undet	sp6.orange.pronotum	na	1
e153	Field.B	1	y	y	n	8/15/2003	Coleoptera	Lathridiidae	undet	undet	na	na	1
e153	Field.B	1	y	y	n	8/15/2003	Hymenoptera	Braconidae	Rogas	undet	na	na	1
e153	Field.B	1	y	y	n	8/15/2003	Hymenoptera	Eulophidae	undet	undet	sp7.orange.abdomen	na	1
e153	Field.B	1	y	y	n	8/15/2003	Hymenoptera	Eulophidae	Tetrastichus	undet	na	na	25
e153	Field.B	1	y	y	n	8/15/2003	Hymenoptera	Platygasteridae	undet	undet	na	na	2
e153	Field.B	1	y	y	n	8/15/2003	Hymenoptera	Formicidae	Myrmica	emeryana	na	na	1
e153	Field.B	1	y	y	n	8/15/2003	Hymenoptera	Formicidae	Camponotus	pennsylvanica	na	na	1
e153	Field.B	1	y	y	n	8/15/2003	Lepidoptera	(Misc.Microlepidoptera)	undet	undet	na	adults	1
e153	Field.B	1	y	y	n	8/15/2003	Lepidoptera	Pyralidae	Crambus	undet	na	na	6
e153	Field.B	1	y	y	n	8/15/2003	Diptera	Culicidae	undet	undet	na	na	2
e153	Field.B	1	y	y	n	8/15/2003	Diptera	Dolichopodidae	Condylostylus	undet	na	na	1
e153	Field.B	1	y	y	n	8/15/2003	Diptera	Pipunculidae	undet	undet	small	na	1
e153	Field.B	1	y	y	n	8/15/2003	Diptera	Chamaemyiidae	Chamaemyia	undet	na	na	15
e153	Field.B	1	y	y	n	8/15/2003	Diptera	Chamaemyiidae	Pseudodinia	undet	na	na	3
e153	Field.B	1	y	y	n	8/15/2003	Diptera	Chloropidae	Oscinella	undet	sp1.black	na	2
e153	Field.B	1	y	y	n	8/15/2003	Diptera	Chloropidae	Incertella?	undet	sp5.pubescent	na	1
e153	Field.B	1	y	y	n	8/15/2003	Diptera	Chloropidae	Malloweia?	undet	yellow.legs	na	3
e153	Field.B	1	y	y	n	8/15/2003	Diptera	Chloropidae	Diplotoxa	versicolor	na	na	1
e153	Field.B	1	y	y	n	8/15/2003	Diptera	Anthomyiidae	Hylemya	undet	na	na	1
e153	Field.B	1	y	y	n	8/15/2003	Diptera	Muscidae	Phaonia	undet	yellow.legs	na	1
e153	Field.B	1	y	y	n	8/15/2003	Diptera	Sarcophagidae	undet	undet	na	na	1
e153	Field.B	1	y	y	n	8/15/2003	Araneae	Araneidae	undet	undet	na	spiderlings	3
e153	Field.B	1	y	y	n	8/15/2003	Araneae	Araneidae	Araneus	pratense	na	na	2
e153	Field.B	1	y	y	n	8/15/2003	Araneae	Salticidae	Metaphidippus	undet	na	na	1
e153	Field.B	2	n	y	n	8/15/2003	Orthoptera	Acrididae	Melanoplus	femurrubrum	na	na	15
e153	Field.B	2	n	y	n	8/15/2003	Orthoptera	Tettigoniidae	Conocephalus	saltans	na	na	8
e153	Field.B	2	n	y	n	8/15/2003	Hemiptera	Alydidae	Protenor	belfragei	na	na	1
e153	Field.B	2	n	y	n	8/15/2003	Hemiptera	Lygaeidae	Phlegyas	abbreviatus	na	na	2
e153	Field.B	2	n	y	n	8/15/2003	Hemiptera	Nabidae	Nabis	americoferus	na	na	2
e153	Field.B	2	n	y	n	8/15/2003	Hemiptera	Miridae	Lygus	lineolaris	na	na	3
e153	Field.B	2	n	y	n	8/15/2003	Homoptera	Delphacidae	Delphacodes	undet	na	na	25
e153	Field.B	2	n	y	n	8/15/2003	Homoptera	Cercopidae	Philaenus(Philaenarcys)	bilineatus	na	na	2
e153	Field.B	2	n	y	n	8/15/2003	Homoptera	Cicadellidae	undet	undet	na	nymphs	10
e153	Field.B	2	n	y	n	8/15/2003	Homoptera	Cicadellidae (Typhlocybinae)	Typhlocyba	undet	na	na	2
e153	Field.B	2	n	y	n	8/15/2003	Homoptera	Cicadellidae	Diplocolenus	configuratus	na	na	1
e153	Field.B	2	n	y	n	8/15/2003	Homoptera	Cicadellidae	Athysanus	argentarius	na	na	1
e153	Field.B	2	n	y	n	8/15/2003	Homoptera	Cicadellidae	Doratura	stylata	na	na	6
e153	Field.B	2	n	y	n	8/15/2003	Homoptera	Cicadellidae	Laevicephalus	unicoloratus	na	na	3
e153	Field.B	2	n	y	n	8/15/2003	Homoptera	Cicadellidae	Quantas	sayi?	na	na	3
e153	Field.B	2	n	y	n	8/15/2003	Homoptera	Cicadellidae	Commellus	comma	na	na	1
e153	Field.B	2	n	y	n	8/15/2003	Homoptera	Cicadellidae	Endria	inimica	na	na	1
e153	Field.B	2	n	y	n	8/15/2003	Homoptera	Aphididae	undet	undet	na	na	10
e153	Field.B	2	n	y	n	8/15/2003	Thysanoptera	undet	undet	undet	sp4.orange.legs	na	3
e153	Field.B	2	n	y	n	8/15/2003	Coleoptera	Cantharidae	Chauliognathus	pennsylvanicus	na	na	1
e153	Field.B	2	n	y	n	8/15/2003	Coleoptera	Phalacridae	undet	undet	na	na	1
e153	Field.B	2	n	y	n	8/15/2003	Hymenoptera	Diprionidae	Diprion	simile	na	pupae/larvae	1
e153	Field.B	2	n	y	n	8/15/2003	Hymenoptera	Eulophidae	Tetrastichus	undet	na	na	30
e153	Field.B	2	n	y	n	8/15/2003	Hymenoptera	Bethylidae	Pristocera	armifera	na	na	3
e153	Field.B	2	n	y	n	8/15/2003	Hymenoptera	Formicidae	Leptothorax	ambiguum	na	na	1
e153	Field.B	2	n	y	n	8/15/2003	Hymenoptera	Formicidae	Proformica	neogagates	na	na	1
e153	Field.B	2	n	y	n	8/15/2003	Hymenoptera	Colletidae	Hylaeus	undet	na	na	1
e153	Field.B	2	n	y	n	8/15/2003	Hymenoptera	Halictidae	Dialictus	undet	na	na	1
e153	Field.B	2	n	y	n	8/15/2003	Lepidoptera	Gelechiidae	undet	undet	sp4.pointed.wing	na	1
e153	Field.B	2	n	y	n	8/15/2003	Lepidoptera	Pyralidae	Crambus	undet	na	na	3
e153	Field.B	2	n	y	n	8/15/2003	Lepidoptera	(Misc.Macrolepidoptera)	undet	undet	misc.	larvae	1
e153	Field.B	2	n	y	n	8/15/2003	Diptera	Bombyliidae	Villa	lateralis	na	na	1
e153	Field.B	2	n	y	n	8/15/2003	Diptera	Dolichopodidae	Condylostylus	undet	na	na	1
e153	Field.B	2	n	y	n	8/15/2003	Diptera	Dolichopodidae	Chrysotus	undet	na	na	1
e153	Field.B	2	n	y	n	8/15/2003	Diptera	Tephritidae	Euaresta	bella	na	na	3
e153	Field.B	2	n	y	n	8/15/2003	Diptera	Chamaemyiidae	Chamaemyia	undet	na	na	38
e153	Field.B	2	n	y	n	8/15/2003	Diptera	Chamaemyiidae	Pseudodinia	undet	na	na	9
e153	Field.B	2	n	y	n	8/15/2003	Diptera	Chloropidae	Oscinella	undet	sp1.black	na	11
e153	Field.B	2	n	y	n	8/15/2003	Diptera	Chloropidae	Incertella?	undet	sp5.pubescent	na	1
e153	Field.B	2	n	y	n	8/15/2003	Diptera	Chloropidae	Incertella	undet	na	na	1
e153	Field.B	2	n	y	n	8/15/2003	Diptera	Chloropidae	Malloweia?	undet	yellow.legs	na	1
e153	Field.B	2	n	y	n	8/15/2003	Diptera	Chloropidae	Thaumatomyia	glabra	na	na	2
e153	Field.B	2	n	y	n	8/15/2003	Diptera	Chloropidae	Diplotoxa	versicolor	na	na	1
e153	Field.B	2	n	y	n	8/15/2003	Araneae	Araneidae	Araneus	pratense	na	na	5
