"Year"	"Plot"	"Fencing"	"nitrogen (g/m^2/yr)"	"fires (2002, 2003, 2006)"	"Trapnights"	"Microtus_pennsylvanicus"	"Peromyscus_maniculatus"	"Undet_Soricidae(Shrew)"	"Zapus_hudsonicus"
2003	1	1	4	0	20	12	2	1	0
2003	2	0	4	0	17	3	0	1	0
2003	3	1	4	1	16	5	0	1	0
2003	4	0	0	1	14	0	2	0	0
2003	5	0	0	0	17	3	0	0	0
2003	6	0	0	0	16	1	3	2	0
2003	7	1	0	1	15	0	1	1	0
2003	8	0	0	1	15	0	2	0	0
2003	9	1	0	0	18	7	0	0	0
2003	10	0	0	0	14	5	0	0	0
2003	11	1	4	1	15	7	0	1	0
2003	12	0	4	1	13	6	0	0	0
2003	13	0	0	0	16	3	0	0	0
2003	14	1	4	1	18	1	1	0	0
2003	15	1	0	0	17	2	0	1	0
2003	16	1	4	0	17	1	0	0	0
2003	17	0	4	0	15	4	0	0	0
2003	18	1	4	0	19	8	0	0	0
2003	19	1	0	1	16	0	6	0	0
2003	20	1	0	1	18	0	2	0	0
2003	21	0	4	0	18	2	0	0	0
2003	22	0	4	1	17	0	0	0	0
2003	23	0	0	1	17	0	0	0	0
2003	24	1	0	0	17	7	0	0	0
2003	25	1	4	0	17	14	0	0	0
2003	26	1	4	1	17	10	0	0	0
2003	27	0	4	1	15	0	1	0	0
2003	28	1	0	0	20	0	0	3	0
2003	29	1	0	1	20	2	0	0	0
2003	30	0	0	1	17	4	0	0	0
2003	31	0	4	0	14	6	0	0	0
2003	32	0	4	1	15	7	0	0	0
2004	1	1	4	0	13	6	0	0	0
2004	2	0	4	0	14	2	0	0	0
2004	3	1	4	1	16	12	0	0	0
2004	4	0	0	1	14	1	0	0	0
2004	5	0	0	0	18	4	0	0	0
2004	6	0	0	0	14	3	1	0	1
2004	7	1	0	1	18	3	0	0	1
2004	8	0	0	1	17	2	0	0	0
2004	9	1	0	0	18	4	0	0	0
2004	10	0	0	0	19	1	0	0	0
2004	11	1	4	1	18	3	0	0	0
2004	12	0	4	1	17	8	0	0	0
2004	13	0	0	0	20	3	1	0	1
2004	14	1	4	1	20	1	0	0	0
2004	15	1	0	0	16	4	0	0	0
2004	16	1	4	0	12	5	0	0	0
2004	17	0	4	0	14	8	0	0	0
2004	18	1	4	0	19	10	0	0	2
2004	19	1	0	1	17	0	0	0	2
2004	20	1	0	1	16	0	0	0	0
2004	21	0	4	0	13	6	0	0	0
2004	22	0	4	1	19	7	0	0	0
2004	23	0	0	1	17	2	0	0	1
2004	24	1	0	0	18	6	0	0	0
2004	25	1	4	0	15	9	0	0	0
2004	26	1	4	1	15	6	0	0	0
2004	27	0	4	1	19	4	0	0	0
2004	28	1	0	0	16	6	0	0	0
2004	29	1	0	1	16	1	0	0	0
2004	30	0	0	1	15	4	0	0	0
2004	31	0	4	0	17	3	0	0	0
2004	32	0	4	1	17	7	0	0	0
2005	1	1	4	0	20	0	4	0	1
2005	2	0	4	0	20	0	0	0	0
2005	3	1	4	1	20	1	0	0	0
2005	4	0	0	1	20	0	0	0	0
2005	5	0	0	0	20	0	1	0	1
2005	6	0	0	0	20	0	1	0	0
2005	7	1	0	1	20	2	0	0	1
2005	8	0	0	1	20	0	0	0	0
2005	9	1	0	0	20	1	0	0	0
2005	10	0	0	0	20	1	1	1	1
2005	11	1	4	1	20	3	0	0	1
2005	12	0	4	1	20	0	0	0	0
2005	13	0	0	0	20	0	0	0	0
2005	14	1	4	1	20	0	0	0	1
2005	15	1	0	0	20	1	1	0	0
2005	16	1	4	0	20	0	0	0	0
2005	17	0	4	0	20	0	0	0	1
2005	18	1	4	0	20	2	0	0	0
2005	19	1	0	1	20	0	0	0	0
2005	20	1	0	1	20	0	0	0	0
2005	21	0	4	0	20	0	0	0	0
2005	22	0	4	1	20	0	0	0	0
2005	23	0	0	1	20	0	0	0	0
2005	24	1	0	0	20	2	1	0	1
2005	25	1	4	0	20	3	0	0	1
2005	26	1	4	1	20	2	0	0	0
2005	27	0	4	1	20	0	0	0	0
2005	28	1	0	0	20	0	0	0	0
2005	29	1	0	1	20	0	0	0	0
2005	30	0	0	1	20	0	0	0	0
2005	31	0	4	0	20	0	0	0	0
2005	32	0	4	1	20	1	0	0	0
