lakeid,year4,sample_date,station,species_code,species,number_per_liter
"LR",1999,1999-03-01,2,63001,"POLYARTHRA DOLICHOPTERA",40.90
"LR",1999,1999-03-01,2,63004,"POLYARTHRA REMATA",72.70
"LR",1999,1999-03-01,2,63400,"SYNCHAETA",4.50
"LR",1999,1999-03-22,2,10000,"COPEPOD NAUPLII",13.60
"LR",1999,1999-03-22,2,20302,"DIACYCLOPS THOMASI",8.40
"LR",1999,1999-03-22,2,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",25.80
"LR",1999,1999-03-22,2,50700,"BOSMINIDAE",3.80
"LR",1999,1999-03-22,2,60800,"CONOCHILOIDES",0.80
"LR",1999,1999-03-22,2,61502,"GASTROPUS STYLIFER",10.60
"LR",1999,1999-03-22,2,61701,"KELLICOTTIA BOSTONIENSIS",9.80
"LR",1999,1999-03-22,2,61801,"KERATELLA COCHLEARIS",59.10
"LR",1999,1999-03-22,2,61803,"KERATELLA CRASSA",12.90
"LR",1999,1999-03-22,2,61805,"KERATELLA HIEMALIS",19.70
"LR",1999,1999-03-22,2,61808,"KERATELLA TAUROCEPHALA",28.80
"LR",1999,1999-03-22,2,63001,"POLYARTHRA DOLICHOPTERA",16.70
"LR",1999,1999-03-22,2,63004,"POLYARTHRA REMATA",10.60
"LR",1999,1999-03-22,2,63400,"SYNCHAETA",0.80
"LR",1999,1999-03-22,2,63602,"TRICHOCERCA BIROSTRIS",0.80
"LR",1999,1999-05-11,2,10000,"COPEPOD NAUPLII",183.30
"LR",1998,1998-10-26,2,63400,"SYNCHAETA",4.50
"LR",1998,1998-10-26,2,63602,"TRICHOCERCA BIROSTRIS",9.10
"LR",1998,1998-10-26,2,63612,"TRICHOCERCA MULTICRINIS",3.00
"LR",1998,1998-11-03,2,10000,"COPEPOD NAUPLII",15.20
"LR",1998,1998-11-03,2,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",109.20
"LR",1998,1998-11-03,2,50700,"BOSMINIDAE",65.20
"LR",1998,1998-11-03,2,61502,"GASTROPUS STYLIFER",18.20
"LR",1998,1998-11-03,2,61701,"KELLICOTTIA BOSTONIENSIS",10.60
"LR",1998,1998-11-03,2,61801,"KERATELLA COCHLEARIS",7.60
"LR",1998,1998-11-03,2,61803,"KERATELLA CRASSA",66.70
"LR",1998,1998-11-03,2,61808,"KERATELLA TAUROCEPHALA",66.70
"LR",1998,1998-11-03,2,63004,"POLYARTHRA REMATA",4.50
"LR",1998,1998-11-03,2,63400,"SYNCHAETA",60.60
"LR",1998,1998-11-03,2,63602,"TRICHOCERCA BIROSTRIS",22.70
"LR",1998,1998-11-03,2,63612,"TRICHOCERCA MULTICRINIS",9.10
"LR",1999,1999-01-25,2,10000,"COPEPOD NAUPLII",10.60
"LR",1999,1999-01-25,2,20302,"DIACYCLOPS THOMASI",12.00
"LR",1999,1999-01-25,2,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",33.30
"LR",1999,1999-01-25,2,50700,"BOSMINIDAE",9.10
"LR",1999,1999-01-25,2,60900,"CONOCHILUS",3.00
"LR",1999,1999-01-25,2,61502,"GASTROPUS STYLIFER",40.90
"LR",1999,1999-01-25,2,61701,"KELLICOTTIA BOSTONIENSIS",3.00
"LR",1999,1999-01-25,2,61801,"KERATELLA COCHLEARIS",471.20
"LR",1999,1999-01-25,2,61803,"KERATELLA CRASSA",231.80
"LR",1999,1999-01-25,2,61805,"KERATELLA HIEMALIS",3.00
"LR",1999,1999-01-25,2,61808,"KERATELLA TAUROCEPHALA",50.00
"LR",1999,1999-01-25,2,63001,"POLYARTHRA DOLICHOPTERA",4.50
"LR",1999,1999-01-25,2,63004,"POLYARTHRA REMATA",142.40
"LR",1999,1999-01-25,2,63005,"POLYARTHRA VULGARIS",7.60
"LR",1999,1999-01-25,2,63400,"SYNCHAETA",10.60
"LR",1999,1999-01-25,2,63602,"TRICHOCERCA BIROSTRIS",10.60
"LR",1999,1999-03-01,2,10000,"COPEPOD NAUPLII",4.50
"LR",1998,1998-09-28,2,61808,"KERATELLA TAUROCEPHALA",4.50
"LR",1998,1998-09-28,2,61904,"LECANE INERMIS",1.50
"LR",1998,1998-09-28,2,63004,"POLYARTHRA REMATA",30.30
"LR",1998,1998-09-28,2,63602,"TRICHOCERCA BIROSTRIS",1.50
"LR",1998,1998-09-28,2,63612,"TRICHOCERCA MULTICRINIS",1.50
"LR",1998,1998-10-12,2,10000,"COPEPOD NAUPLII",11.40
"LR",1998,1998-10-12,2,20601,"MESOCYCLOPS EDAX",0.80
"LR",1998,1998-10-12,2,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",41.00
"LR",1998,1998-10-12,2,30402,"LEPTODIAPTOMUS MINUTUS",0.80
"LR",1998,1998-10-12,2,50700,"BOSMINIDAE",7.60
"LR",1998,1998-10-12,2,60202,"ASCOMORPHA OVALIS",1.50
"LR",1998,1998-10-12,2,61502,"GASTROPUS STYLIFER",15.20
"LR",1998,1998-10-12,2,61701,"KELLICOTTIA BOSTONIENSIS",2.30
"LR",1998,1998-10-12,2,61801,"KERATELLA COCHLEARIS",3.80
"LR",1998,1998-10-12,2,61803,"KERATELLA CRASSA",31.80
"LR",1998,1998-10-12,2,61808,"KERATELLA TAUROCEPHALA",37.90
"LR",1998,1998-10-12,2,63004,"POLYARTHRA REMATA",1.50
"LR",1998,1998-10-12,2,63400,"SYNCHAETA",1.50
"LR",1998,1998-10-12,2,63602,"TRICHOCERCA BIROSTRIS",4.50
"LR",1998,1998-10-12,2,63612,"TRICHOCERCA MULTICRINIS",3.00
"LR",1998,1998-10-26,2,10000,"COPEPOD NAUPLII",9.10
"LR",1998,1998-10-26,2,20302,"DIACYCLOPS THOMASI",0.80
"LR",1998,1998-10-26,2,20601,"MESOCYCLOPS EDAX",0.80
"LR",1998,1998-10-26,2,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",31.80
"LR",1998,1998-10-26,2,50700,"BOSMINIDAE",0.80
"LR",1998,1998-10-26,2,51105,"DAPHNIA PARVULA",9.80
"LR",1998,1998-10-26,2,61502,"GASTROPUS STYLIFER",3.00
"LR",1998,1998-10-26,2,61701,"KELLICOTTIA BOSTONIENSIS",101.50
"LR",1998,1998-10-26,2,61801,"KERATELLA COCHLEARIS",781.80
"LR",1998,1998-10-26,2,61803,"KERATELLA CRASSA",62.10
"LR",1998,1998-10-26,2,61808,"KERATELLA TAUROCEPHALA",45.50
"LR",1998,1998-10-26,2,63004,"POLYARTHRA REMATA",1.50
"LR",1998,1998-08-31,2,30402,"LEPTODIAPTOMUS MINUTUS",1.60
"LR",1998,1998-08-31,2,50700,"BOSMINIDAE",46.20
"LR",1998,1998-08-31,2,51202,"DIAPHANOSOMA BIRGEI",5.30
"LR",1998,1998-08-31,2,60202,"ASCOMORPHA OVALIS",3.00
"LR",1998,1998-08-31,2,61502,"GASTROPUS STYLIFER",9.10
"LR",1998,1998-08-31,2,61701,"KELLICOTTIA BOSTONIENSIS",1.50
"LR",1998,1998-08-31,2,61801,"KERATELLA COCHLEARIS",159.10
"LR",1998,1998-08-31,2,61803,"KERATELLA CRASSA",36.40
"LR",1998,1998-08-31,2,61808,"KERATELLA TAUROCEPHALA",75.80
"LR",1998,1998-08-31,2,63004,"POLYARTHRA REMATA",15.20
"LR",1998,1998-08-31,2,63005,"POLYARTHRA VULGARIS",4.50
"LR",1998,1998-09-14,2,10000,"COPEPOD NAUPLII",3.80
"LR",1998,1998-09-14,2,20901,"TROPOCYCLOPS PRASINUS MEXICANUS",5.30
"LR",1998,1998-09-14,2,30402,"LEPTODIAPTOMUS MINUTUS",0.80
"LR",1998,1998-09-14,2,61502,"GASTROPUS STYLIFER",2.30
"LR",1998,1998-09-14,2,61701,"KELLICOTTIA BOSTONIENSIS",0.80
"LR",1998,1998-09-14,2,61801,"KERATELLA COCHLEARIS",134.80
"LR",1998,1998-09-14,2,61803,"KERATELLA CRASSA",6.80
"LR",1998,1998-09-14,2,61808,"KERATELLA TAUROCEPHALA",13.60
"LR",1998,1998-09-14,2,63004,"POLYARTHRA REMATA",32.60
"LR",1998,1998-09-14,2,63005,"POLYARTHRA VULGARIS",0.80
