Transect,Plot,Tag number,Height,Diameter,Species,gt10cm,lt10cm,Comments,Start Date
5,8,1,14.9,0.53,PIPGLA,,,Red newly exposed soil; veg-reprod. from outside;  now rooted,6/3/1988
6,15,4,12.9,0.29,CECSCH,,,Litter;  Red newly exposed soil; gully,6/3/1988
6,15,5,25.2,0.76,UREBAC,,,Litter;  Red newly exposed soil; gully,6/3/1988
2,7,1,31.6,0.33,CECSCH,,,Brown old soil; island; rocky,6/3/1988
2,7,2,18.5,0.31,CECSCH,,,Brown old soil; island; rocky,6/3/1988
2,7,3,59.5,0.54,PIPGLA,,,Brown old soil; island; rocky,6/3/1988
2,7,4,37.5,0.7,PIPGLA,,,Brown old soil; island; rocky,6/3/1988
2,7,5,15.2,0.21,CECSCH,,,Brown old soil; island; rocky,6/3/1988
2,7,6,18.6,0.23,CECSCH,,,Brown old soil; island; rocky,6/3/1988
2,7,7,15.4,0.27,CECSCH,,,Brown old soil; island; rocky,6/3/1988
2,7,8,17.6,0.23,CECSCH,,,Brown old soil; island; rocky,6/3/1988
2,7,9,14.8,0.19,CECSCH,,,Brown old soil; island; rocky,6/3/1988
2,7,10,9.8,0.2,CECSCH,,,Brown old soil; island; rocky,6/3/1988
4,24,1,68,0.46,CECSCH,,,r-soil;  rocky;  litter,2/23/1989
4,24,32,42.5,0.49,INGVER,,,b-soil;  rocky;  litter,2/23/1989
4,24,34,30,0.4,INGVER,,,b-soil;  rocky;  litter,2/23/1989
4,24,36,173,0.84,CECSCH,,,b-soil;  rocky;  litter,2/23/1989
5,4,28,25.1,0.22,SWIMAC,,,r-soil;  gully;  litter,2/23/1989
5,4,29,17,0.24,SWIMAC,,,r-soil;  gully;  litter,2/23/1989
5,4,33,22.5,0.3,SWIMAC,,,b-soil;  rocky;  litter,2/23/1989
5,4,34,22,0.3,SWIMAC,,,b-soil;  rocky;  litter,2/23/1989
5,4,35,20,0.33,SWIMAC,,,b-soil;  rocky;  litter,2/23/1989
5,4,46,21.2,0.33,SWIMAC,,,r-soil;  rocks;  litter,2/23/1989
5,4,47,25.1,0.38,SWIMAC,,,r-soil;  rocks;  litter,2/23/1989
6,6,6,145,1.82,CECSCH,,,r-soil;  rocky;  litter,2/23/1989
6,12,15,0,0,INGVER,,,Live trunk;  dead;  new growth,2/23/1989
6,6,28,,,PAUPIN,,,Do nutrient;  vine;  No data,2/23/1989
6,9,50,20.5,0.28,SWIMAC,,,Rock;  r-soil;  paraller to soil,2/23/1989
5,19,1,25.5,0.38,SWIMAC,,,r-soil;  litter;  rocky,2/23/1989
5,19,2,34,0.26,SWIMAC,,,r-soil;  litter;  rocky,2/23/1989
5,19,3,37.5,0.32,HETCYM,,,r-soil;  litter;  rocky,2/23/1989
5,19,5,47,0.3,ALCLAT,,,r-soil;  litter;  rocky,2/23/1989
5,19,6,85,0.78,CECSCH,,,r-soil;  litter;  rocky,2/23/1989
5,19,7,34,0.28,HETCYM,,,r-soil;  litter;  rocky,2/23/1989
6,12,23,155,1.77,UREBAC,,,Rocky;  litter;  same pl as 22,2/23/1989
6,12,22,250,3.62,UREBAC,,,Rocky;  litter;  same pl as 23,2/23/1989
6,12,25,125,1.74,UREBAC,,,Rocky;  closed to LT;  same pl as 24,2/23/1989
6,12,24,250,2.48,UREBAC,,,Rocky;  closed to LT;  same pl as 25,2/23/1989
6,6,36,30,0.63,PIPGLA,,,r-soil;  rock;  stolon,2/23/1989
6,15,20,71,0.5,PIPHIS,,,Litter;  red soil;  stolon,2/23/1989
6,6,16,77.5,1.41,UREBAC,,,r-soil;  litter;  survival,2/23/1989
5,4,30,45,0.6,SWIMAC,,,Dying; def.; b.s.,12/21/1992
6,6,15,40,1.86,INGVER,,,BS;  TB;  SP,5/26/1994
6,15,19,141,0.74,UREBAC,,,Red soil;  litter;  stolon;  broke,2/23/1989
4,24,33,0,0,SOLTOR,,,b-soil;  rocky;  litter;  dead,2/23/1989
4,24,35,0,0,CECSCH,,,b-soil;  rocky;  litter;  dead,2/23/1989
4,24,5,0,0,CECSCH,,,r-soil;  litter;  rocks;  dead,2/23/1989
5,19,4,0,0,CECSCH,,,r-soil;  litter;  rocky;  dead,2/23/1989
6,12,22,76,2.04,UREBAC,,,Brown old soil;  litter;  Inga;  trunk,6/3/1988
6,12,23,55,1.23,UREBAC,,,Brown old soil;  litter;  Inga;  trunk,6/3/1988
6,12,24,72,1.65,UREBAC,,,Brown old soil;  litter;  Inga;  trunk,6/3/1988
