Transect, Plot, Tag number, Height, Diameter, Species,Comments, Start Date
3,6,1,37,0.43,CECSCH,,1/1/1989
3,6,2,15.5,0.15,CECSCH,,1/1/1989
3,6,3,21,0.25,MICRAC,,1/1/1989
3,6,4,17,0.22,CECSCH,,1/1/1989
3,6,5,25.5,0.23,MICRAC,,1/1/1989
3,6,6,19,0.33,INGLAU,,1/1/1989
3,6,7,49,0.69,INGLAU,,1/1/1989
3,6,8,12,0.15,CECSCH,,1/1/1989
3,6,9,15,0.15,CECSCH,,1/1/1989
3,6,10,33,0.27,CECSCH,,1/1/1989
3,6,11,15,0.12,CECSCH,,1/1/1989
3,6,12,20,0.27,MICRAC,,1/1/1989
3,6,13,20,0.23,MICRAC,,1/1/1989
3,6,14,11,0.2,HETCYM,,1/1/1989
3,6,15,20,0.2,MICRAC,,1/1/1989
3,6,16,26,0.18,MICRAC,,1/1/1989
3,6,17,114,1.1,CECSCH,,1/1/1989
3,12,1,21,0.24,MICRAC,,1/1/1989
3,12,2,18,0.2,CECSCH,,1/1/1989
3,12,3,15,0.16,MICRAC,,1/1/1989
3,12,4,21.5,0.23,MICRAC,,1/1/1989
3,12,5,14,0.17,CECSCH,,1/1/1989
3,12,6,48,0.74,CECSCH,,1/1/1989
3,12,7,180,3.73,PHYICO,,1/1/1989
3,12,8,66,0.78,CECSCH,,1/1/1989
3,12,9,150,5.09,PHYICO,,1/1/1989
4,7,1,20,0.28,MICONI,,1/1/1989
4,7,2,12,0.18,MICONI,,1/1/1989
4,18,,,,,Not done,1/1/1989
4,21,1,86,2.9,PHYICO,,1/1/1989
4,21,2,12,0.42,CECSCH,,1/1/1989
4,24,,,,,Not done,1/1/1989
5,2,1,18,0.21,CYRRAC,,1/1/1989
5,2,2,11,0.16,MICRAC,,1/1/1989
5,2,3,12,0.24,MICRAC,,1/1/1989
5,2,4,52,0.89,MICRAC,,1/1/1989
5,9,1,11,0.28,CECSCH,,1/1/1989
5,9,2,16,0.13,MICRAC,,1/1/1989
5,9,3,16.5,0.13,MICRAC,,1/1/1989
5,9,4,14.5,0.12,MICRAC,,1/1/1989
5,9,5,12,0.15,MICRAC,,1/1/1989
5,9,6,10.5,0.13,MICRAC,,1/1/1989
5,9,7,12,0.18,MICRAC,,1/1/1989
5,9,8,68,0.67,PSYBER,,1/1/1989
5,9,9,12,0.18,CECSCH,,1/1/1989
5,9,10,23,0.2,MICRAC,,1/1/1989
5,13,,,,,Not done,1/1/1989
6,9,1,41,0.7,CYRRAC,Survival,1/1/1989
6,9,2,15,0.25,MICRAC,Survival,1/1/1989
