"dataset_id","year","month","day","site","block","plot","subplot","treatment","treatment_type","design","timepoint","time_since_disturbance_days","species","metric","value","unit","comment"
"allison_2018","2006","06","14","Valley",NA,"log","A","log_disturbance","manipulated community",NA,"T1",NA,"forsub1","count",2,"count",NA
"allison_2018","2006","06","14","Valley",NA,"log","A","log_exclosure","manipulated community",NA,"T1",NA,"aphpic","count",1,"count",NA
"allison_2018","2006","06","14","Ridge",NA,"log","B","log_control","manipulated community",NA,"T1",NA,"aphpic","count",1,"count",NA
"allison_2018","2006","06","14","Ridge",NA,"girdle","A","girdle_disturbance","manipulated community",NA,"T1",NA,"aphpic","count",6,"count",NA
"allison_2018","2006","06","14","Ridge",NA,"girdle","B","girdle_exclosure","manipulated community",NA,"T1",NA,"temlon","count",1,"count",NA
"allison_2018","2006","06","14","Ridge",NA,"hemlock control","A","hemlock control_control","manipulated community",NA,"T1",NA,"aphpic","count",1,"count",NA
"allison_2018","2006","06","14","Ridge",NA,"hemlock control","B","hemlock control_disturbance","manipulated community",NA,"T1",NA,"aphpic","count",1,"count",NA
"allison_2018","2006","06","14","Ridge",NA,"hardwood control","A","hardwood control_control","manipulated community",NA,"T1",NA,"lasali","count",10,"count",NA
"allison_2018","2006","06","14","Ridge",NA,"hardwood control","A","hardwood control_control","manipulated community",NA,"T1",NA,"aphpic","count",5,"count",NA
"allison_2018","2006","06","14","Ridge",NA,"hardwood control","A","hardwood control_disturbance","manipulated community",NA,"T1",NA,"aphpic","count",1,"count",NA
"allison_2018","2006","06","14","Valley",NA,"hardwood control","A","hardwood control_exclosure","manipulated community",NA,"T1",NA,"aphpic","count",3,"count",NA
"allison_2018","2006","06","14","Valley",NA,"hardwood control","A","hardwood control_exclosure","manipulated community",NA,"T1",NA,"myrpun","count",1,"count",NA
"allison_2018","2006","06","14","Valley",NA,"hardwood control","B","hardwood control_control","manipulated community",NA,"T1",NA,"aphpic","count",1,"count",NA
"allison_2018","2006","06","14","Valley",NA,"hardwood control","B","hardwood control_disturbance","manipulated community",NA,"T1",NA,"aphpic","count",1,"count",NA
"allison_2018","2006","07","19","Valley",NA,"log","B","log_disturbance","manipulated community",NA,"T2",NA,"aphpic","count",1,"count",NA
"allison_2018","2006","07","19","Valley",NA,"hemlock control","A","hemlock control_control","manipulated community",NA,"T2",NA,"lasumb","count",1,"count",NA
"allison_2018","2006","07","19","Valley",NA,"hemlock control","A","hemlock control_disturbance","manipulated community",NA,"T2",NA,"aphpic","count",2,"count",NA
"allison_2018","2006","07","19","Valley",NA,"hemlock control","A","hemlock control_exclosure","manipulated community",NA,"T2",NA,"steimp","count",1,"count",NA
"allison_2018","2006","07","19","Ridge",NA,"log","B","log_exclosure","manipulated community",NA,"T2",NA,"aphpic","count",1,"count",NA
"allison_2018","2006","07","19","Ridge",NA,"girdle","A","girdle_exclosure","manipulated community",NA,"T2",NA,"aphpic","count",1,"count",NA
"allison_2018","2006","07","19","Ridge",NA,"girdle","A","girdle_control","manipulated community",NA,"T2",NA,"campen","count",1,"count",NA
"allison_2018","2006","07","19","Ridge",NA,"girdle","A","girdle_control","manipulated community",NA,"T2",NA,"aphpic","count",1,"count",NA
"allison_2018","2006","07","19","Ridge",NA,"girdle","B","girdle_control","manipulated community",NA,"T2",NA,"campen","count",6,"count",NA
"allison_2018","2006","07","19","Ridge",NA,"girdle","B","girdle_disturbance","manipulated community",NA,"T2",NA,"aphpic","count",1,"count",NA
"allison_2018","2006","07","19","Ridge",NA,"girdle","B","girdle_exclosure","manipulated community",NA,"T2",NA,"aphpic","count",2,"count",NA
"allison_2018","2006","07","19","Ridge",NA,"hemlock control","A","hemlock control_control","manipulated community",NA,"T2",NA,"aphpic","count",2,"count",NA
