year,site,block,species,value,dataset_id,treatment,timepoints,time_since_disturbance,realm,taxon,metric,unit,comment,design
2013,Ave35,Ave35_dwn_B1_CORE,Yellow-rumped Warbler,1.33333333333333,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Double-crested Cormorant,18.8333333333333,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Abert's Towhee,1.16666666666667,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Verdin,0.666666666666667,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Marsh Wren,0.166666666666667,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,American Coot,4.16666666666667,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Killdeer,2.5,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Northern Rough-winged Swallow,1.5,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Black Phoebe,1.16666666666667,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Northern Pintail,2.66666666666667,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,House Finch,1.66666666666667,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Gadwall,1.16666666666667,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Northern Shoveler,4.5,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Great-tailed Grackle,11.8333333333333,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Black-necked Stilt,0.666666666666667,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Ring-necked Duck,0.333333333333333,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Spotted Sandpiper,0.333333333333333,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Neotropic Cormorant,3.33333333333333,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Red-winged Blackbird,1.16666666666667,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Red-tailed Hawk,0.333333333333333,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Black-crowned Night-Heron,0.333333333333333,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Great Egret,3.16666666666667,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Great Blue Heron,0.166666666666667,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Song Sparrow,0.666666666666667,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Bufflehead,0.333333333333333,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Mourning Dove,3.83333333333333,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Common Raven,0.166666666666667,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
2013,Ave35,Ave35_dwn_B1_CORE,Cliff Swallow,2.33333333333333,bateman_2018,Urban_notRestored,T1,,terrestrial,birds,count,mean abundance per survey,Some restored and some unrestored sites along the Salt river. Each station was surveyed several times a year (2 to 9). Abundances are summed per year and divided by the number of sampling events.,AC
