year,site,block,plot,subplot,treatment,species,value,dataset_id,treatment_type,design,timepoints,time_since_disturbance,realm,taxon,metric,unit,comment
2006,Ridge,4,A,disturbance,log_disturbance,Camponotus herculeanus,1,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Ridge,4,B,control,log_control,Aphaenogaster picea,2,ellison_2018,manipulated community,AC,T1,,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Ridge,4,B,exclosure,log_exclosure,Aphaenogaster picea,1,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Ridge,5,A,control,girdle_control,Camponotus pennsylvanicus,3,ellison_2018,manipulated community,AC,T1,,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Ridge,5,A,control,girdle_control,Aphaenogaster picea,2,ellison_2018,manipulated community,AC,T1,,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Ridge,5,A,control,girdle_control,Stenamma schmittii,1,ellison_2018,manipulated community,AC,T1,,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Ridge,5,A,disturbance,girdle_disturbance,Aphaenogaster picea,6,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Ridge,5,A,exclosure,girdle_exclosure,Aphaenogaster picea,1,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Ridge,5,B,control,girdle_control,Camponotus pennsylvanicus,6,ellison_2018,manipulated community,AC,T1,,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Ridge,5,B,disturbance,girdle_disturbance,Aphaenogaster picea,1,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Ridge,5,B,disturbance,girdle_disturbance,Camponotus pennsylvanicus,2,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Ridge,5,B,exclosure,girdle_exclosure,Temnothorax longispinosus,1,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Ridge,5,B,exclosure,girdle_exclosure,Aphaenogaster picea,2,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Ridge,6,A,control,hemlock_management_control,Aphaenogaster picea,3,ellison_2018,manipulated community,AC,T1,,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Ridge,6,A,exclosure,hemlock_management_exclosure,Lasius umbratus,2,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Ridge,6,A,exclosure,hemlock_management_exclosure,Stenamma impar,1,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Ridge,6,B,disturbance,hemlock_management_disturbance,Aphaenogaster picea,1,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Ridge,7,A,control,hardwood_management_control,Lasius alienus,10,ellison_2018,manipulated community,AC,T1,,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Ridge,7,A,control,hardwood_management_control,Aphaenogaster picea,6,ellison_2018,manipulated community,AC,T1,,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Ridge,7,A,disturbance,hardwood_management_disturbance,Aphaenogaster picea,2,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Ridge,7,B,disturbance,hardwood_management_disturbance,Myrmica punctiventris,1,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Valley,1,A,control,girdle_control,Camponotus pennsylvanicus,1,ellison_2018,manipulated community,AC,T1,,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Valley,1,B,control,girdle_control,Camponotus pennsylvanicus,1,ellison_2018,manipulated community,AC,T1,,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Valley,2,A,disturbance,log_disturbance,Formica subaenescens,2,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
2006,Valley,2,A,disturbance,log_disturbance,Formica subsericea,1,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,count,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: is the number of times the pitfalls were sampled relevant for effort? Or should the time between first and last survey of each year be used as effort?
