site,block,species,value,dataset_id,year,treatment,treatment_type,design,timepoints,time_since_disturbance,realm,taxon,metric,unit,comment
site_3000,1,RHYAC,1,hershey_2016,1985,impact_3000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_140,1,RHYAC,1,hershey_2016,1985,impact_140,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_340,2,RHYAC,1,hershey_2016,1985,impact_340,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,2,RHYAC,2,hershey_2016,1985,impact_1000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,2,RHYAC,1,hershey_2016,1985,impact_3000,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3500,2,RHYAC,1,hershey_2016,1985,impact_3500,eutrophication,AI,T1,1,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_3000,1,RHYAC,2,hershey_2016,1986,impact_3000,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_-1000,3,RHYAC,1,hershey_2016,1986,control_-1000,eutrophication,AC,T2,,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_1000,3,RHYAC,2,hershey_2016,1986,impact_1000,eutrophication,AI,T2,2,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_590,1,RHYAC,1,hershey_2016,1987,impact_590,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
site_340,2,RHYAC,1,hershey_2016,1987,impact_340,eutrophication,AI,T3,3,freshwater,invertebrates,count,ind per sample,Treatment variable shows the distance above (negative values) and downstream (positive values) of a nutrient source.
