year,site,block,plot,subplot,treatment,species,value,dataset_id,timepoints,design,time_since_disturbance,treatment_type,realm,taxon,metric,unit,comment
2003,Clubhead,CW,1,1,nutrient addition,Fabricia.sabella,1,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,1,1,nutrient addition,Manayunkia.aestuarina,6.33333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,1,1,nutrient addition,Captiella.capitata,1,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,1,1,nutrient addition,Total.polychaetes,8.33333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,1,1,nutrient addition,Paranais.litoralis,2,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,1,1,nutrient addition,Cernosvitoviella.immota,8,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,1,1,nutrient addition,Insect,0.333333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,1,1,nutrient+fish,Fabricia.sabella,5.33333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,1,1,nutrient+fish,Manayunkia.aestuarina,13.3333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,1,1,nutrient+fish,Nereis.diversicolor,0.666666666666667,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
2003,Clubhead,CW,1,1,nutrient+fish,Eteone.heteropoda,0.333333333333333,johnson_2019,T1,BI,,eutrophication and community manipulation,terrestrial,invertebrates,density,ind/m2,Block design with two treatments. Treatments were applied at different times and frequencies. Abundances from several samplings a year were pooled together.
