year,block,treatment,species,value,dataset_id,site,treatment_type,timepoints,design,time_since_disturbance,realm,taxon,metric,unit,comment
2003,B1,ExFe,Melanoplus femurrubrum,20,knops_2018a,Field.B,prairie management,T1,AI,3,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being Ex (Exclosure meaning no grazing), Fe (fertilization) and Bu (burning every other year). Life stage is also given (sometimes) so subadults could be excluded hence diminishing greatly the number of undeterminate species."
2003,B1,ExFe,Phoetaliotes nebrascensis,6,knops_2018a,Field.B,prairie management,T1,AI,3,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being Ex (Exclosure meaning no grazing), Fe (fertilization) and Bu (burning every other year). Life stage is also given (sometimes) so subadults could be excluded hence diminishing greatly the number of undeterminate species."
2003,B1,ExFe,Conocephalus saltans,21,knops_2018a,Field.B,prairie management,T1,AI,3,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being Ex (Exclosure meaning no grazing), Fe (fertilization) and Bu (burning every other year). Life stage is also given (sometimes) so subadults could be excluded hence diminishing greatly the number of undeterminate species."
2003,B1,ExFe,Conocephalus brevipennis,1,knops_2018a,Field.B,prairie management,T1,AI,3,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being Ex (Exclosure meaning no grazing), Fe (fertilization) and Bu (burning every other year). Life stage is also given (sometimes) so subadults could be excluded hence diminishing greatly the number of undeterminate species."
2003,B1,ExFe,Conocephalus sp.,2,knops_2018a,Field.B,prairie management,T1,AI,3,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being Ex (Exclosure meaning no grazing), Fe (fertilization) and Bu (burning every other year). Life stage is also given (sometimes) so subadults could be excluded hence diminishing greatly the number of undeterminate species."
2003,B1,ExFe,Geocoris sp.,3,knops_2018a,Field.B,prairie management,T1,AI,3,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being Ex (Exclosure meaning no grazing), Fe (fertilization) and Bu (burning every other year). Life stage is also given (sometimes) so subadults could be excluded hence diminishing greatly the number of undeterminate species."
2003,B1,ExFe,Collaria meilleurii,1,knops_2018a,Field.B,prairie management,T1,AI,3,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being Ex (Exclosure meaning no grazing), Fe (fertilization) and Bu (burning every other year). Life stage is also given (sometimes) so subadults could be excluded hence diminishing greatly the number of undeterminate species."
2003,B1,ExFe,Delphacodes sp.,149,knops_2018a,Field.B,prairie management,T1,AI,3,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being Ex (Exclosure meaning no grazing), Fe (fertilization) and Bu (burning every other year). Life stage is also given (sometimes) so subadults could be excluded hence diminishing greatly the number of undeterminate species."
2003,B1,ExFe,Bruchomorpha nasuta,6,knops_2018a,Field.B,prairie management,T1,AI,3,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being Ex (Exclosure meaning no grazing), Fe (fertilization) and Bu (burning every other year). Life stage is also given (sometimes) so subadults could be excluded hence diminishing greatly the number of undeterminate species."
2003,B1,ExFe,Philaenus(Philaenarcys) bilineatus,22,knops_2018a,Field.B,prairie management,T1,AI,3,terrestrial,invertebrates,count,ind per survey,"Block design with treatments being Ex (Exclosure meaning no grazing), Fe (fertilization) and Bu (burning every other year). Life stage is also given (sometimes) so subadults could be excluded hence diminishing greatly the number of undeterminate species."
