year,site,species,value,treatment,dataset_id,treatment_type,timepoints,design,time_since_disturbance,realm,taxon,metric,unit,comment
2003,1,Microtus_pennsylvanicus,0.6,ExFe4,knops_2018b,prairie management,T1,AI,3,terrestrial,mammals,count,ind per trapnight,"Block design with treatments being Ex (Exclosure meaning no grazing), Fe (fertilization (0 + 2 dosages)) and Bu (burning every other year). Abundances devided by the number of trapnights"
2003,2,Microtus_pennsylvanicus,0.176470588235294,Fe4,knops_2018b,prairie management,T1,AI,3,terrestrial,mammals,count,ind per trapnight,"Block design with treatments being Ex (Exclosure meaning no grazing), Fe (fertilization (0 + 2 dosages)) and Bu (burning every other year). Abundances devided by the number of trapnights"
2003,3,Microtus_pennsylvanicus,0.3125,ExFe4Bu,knops_2018b,prairie management,T1,AI,3,terrestrial,mammals,count,ind per trapnight,"Block design with treatments being Ex (Exclosure meaning no grazing), Fe (fertilization (0 + 2 dosages)) and Bu (burning every other year). Abundances devided by the number of trapnights"
2003,5,Microtus_pennsylvanicus,0.176470588235294,control,knops_2018b,prairie management,T1,AC,,terrestrial,mammals,count,ind per trapnight,"Block design with treatments being Ex (Exclosure meaning no grazing), Fe (fertilization (0 + 2 dosages)) and Bu (burning every other year). Abundances devided by the number of trapnights"
2003,6,Microtus_pennsylvanicus,0.0625,control,knops_2018b,prairie management,T1,AC,,terrestrial,mammals,count,ind per trapnight,"Block design with treatments being Ex (Exclosure meaning no grazing), Fe (fertilization (0 + 2 dosages)) and Bu (burning every other year). Abundances devided by the number of trapnights"
2003,9,Microtus_pennsylvanicus,0.388888888888889,Ex,knops_2018b,prairie management,T1,AI,3,terrestrial,mammals,count,ind per trapnight,"Block design with treatments being Ex (Exclosure meaning no grazing), Fe (fertilization (0 + 2 dosages)) and Bu (burning every other year). Abundances devided by the number of trapnights"
2003,10,Microtus_pennsylvanicus,0.357142857142857,control,knops_2018b,prairie management,T1,AC,,terrestrial,mammals,count,ind per trapnight,"Block design with treatments being Ex (Exclosure meaning no grazing), Fe (fertilization (0 + 2 dosages)) and Bu (burning every other year). Abundances devided by the number of trapnights"
2003,11,Microtus_pennsylvanicus,0.466666666666667,ExFe4Bu,knops_2018b,prairie management,T1,AI,3,terrestrial,mammals,count,ind per trapnight,"Block design with treatments being Ex (Exclosure meaning no grazing), Fe (fertilization (0 + 2 dosages)) and Bu (burning every other year). Abundances devided by the number of trapnights"
2003,12,Microtus_pennsylvanicus,0.461538461538462,Fe4Bu,knops_2018b,prairie management,T1,AI,3,terrestrial,mammals,count,ind per trapnight,"Block design with treatments being Ex (Exclosure meaning no grazing), Fe (fertilization (0 + 2 dosages)) and Bu (burning every other year). Abundances devided by the number of trapnights"
2003,13,Microtus_pennsylvanicus,0.1875,control,knops_2018b,prairie management,T1,AC,,terrestrial,mammals,count,ind per trapnight,"Block design with treatments being Ex (Exclosure meaning no grazing), Fe (fertilization (0 + 2 dosages)) and Bu (burning every other year). Abundances devided by the number of trapnights"
2003,14,Microtus_pennsylvanicus,0.0555555555555556,ExFe4Bu,knops_2018b,prairie management,T1,AI,3,terrestrial,mammals,count,ind per trapnight,"Block design with treatments being Ex (Exclosure meaning no grazing), Fe (fertilization (0 + 2 dosages)) and Bu (burning every other year). Abundances devided by the number of trapnights"
2003,15,Microtus_pennsylvanicus,0.117647058823529,Ex,knops_2018b,prairie management,T1,AI,3,terrestrial,mammals,count,ind per trapnight,"Block design with treatments being Ex (Exclosure meaning no grazing), Fe (fertilization (0 + 2 dosages)) and Bu (burning every other year). Abundances devided by the number of trapnights"
