year,site,block,treatment,species,value,dataset_id,treatment_type,timepoints,design,realm,taxon,metric,unit,comment,time_since_disturbance
2008,AQUE,4,control,Gibbonsia,0.00234375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,AQUE,4,control,Rhinogobiops nicholsii,0.021875,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,AQUE,4,control,Unidentified Cottidae,0.01953125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,AQUE,4,control,Citharichthys stigmaeus,0.0015625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,AQUE,4,control,Leiocottus hirundo,0.0015625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,AQUE,4,control,Oxylebius pictus,0.0234375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,AQUE,4,control,Brachyistius frenatus,0.0015625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,AQUE,4,control,Cymatogaster aggregata,0.0015625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,AQUE,4,control,Cephaloscyllium ventriosum,0.0015625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,AQUE,4,control,Rhacochilus vacca,0.00234375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,AQUE,4,control,Embiotoca jacksoni,0.0109375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,AQUE,4,control,Hypsurus caryi,0.00390625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,AQUE,4,control,Oxyjulis californica,0.01875,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,AQUE,4,control,Paralabrax clathratus,0.003125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,AQUE,4,control,Paralabrax nebulifer,0.00078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,AQUE,4,control,Rhacochilus toxotes,0.00390625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,AQUE,4,control,Sebastes atrovirens,0.0078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,AQUE,4,control,Unidentified YOY Sebastes,0.00234375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,AQUE,4,control,Scorpaenichthys marmoratus,0.0015625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,AQUE,4,control,Semicossyphus pulcher,0.00078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",
2008,AQUE,7,annual,Gibbonsia,0.00390625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,AQUE,7,annual,Rhinogobiops nicholsii,0.0515625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,AQUE,7,annual,Unidentified Cottidae,0.0078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,AQUE,7,annual,Leiocottus hirundo,0.00703125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,AQUE,7,annual,Oxylebius pictus,0.025,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,AQUE,7,annual,Aulorhynchus flavidus,0.0234375,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,AQUE,7,annual,Brachyistius frenatus,0.0015625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,AQUE,7,annual,Cephaloscyllium ventriosum,0.00078125,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
2008,AQUE,7,annual,Rhacochilus vacca,0.00390625,reed_2020a,kelp removal,T1,AI,marine,fish,density,ind per m2,"Cryptic and Mobile surveys pooled. Multiple annual surveys pooled into one with total abundances standardized by total sampled area. Two transects per site, each with a different treatment.",0
